query,cran_id,n_terms,n_relevant,AP_vector,P10_vector,AP_bm25,P10_bm25,dAP,text
20,35,22,9,0.4593,0.60,0.5386,0.60,+0.0793,"has anyone formally determined the influence of joule heating produced by the induced current in magnetohydrodynamic free convection flows under general conditions"
21,39,16,4,0.1112,0.10,0.0461,0.00,-0.0651,"why does the compressibility transformation fail to correlate the high speed data for helium and air"
22,40,24,1,0.0000,0.00,0.0000,0.00,+0.0000,"did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature"
23,41,10,32,0.1667,0.40,0.1254,0.20,-0.0412,"what progress has been made in research on unsteady aerodynamics"
24,49,14,3,0.3093,0.20,0.3533,0.20,+0.0441,"what are the factors which influence the time required to invert large structural matrices"
25,50,19,9,0.6307,0.50,0.6100,0.50,-0.0207,"does a practical flow follow the theoretical concepts for the interaction between adjacent blade rows of a supersonic cascade"
26,51,22,6,0.1462,0.10,0.2076,0.20,+0.0614,"what is a single approximate formula for the displacement thickness of a laminar boundary layer in compressible flow on a flat plate"
27,52,16,3,0.0810,0.10,0.0772,0.10,-0.0039,"how is the design of ring or part ring wings by linear theory affected by thickness"
28,53,10,2,0.0050,0.00,0.0042,0.00,-0.0007,"what application has the linear theory design of curved wings"
29,54,19,9,0.4381,0.40,0.4078,0.40,-0.0303,"what is the effect of cross sectional shape on the flow over simple delta wings with sharp leading edges"
30,55,8,7,0.0451,0.00,0.0422,0.00,-0.0028,"papers on flow visualization on slender conical wings"
31,56,23,1,0.0000,0.00,0.0000,0.00,+0.0000,"what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio"
32,57,11,6,0.0161,0.00,0.0134,0.00,-0.0026,"to find an approximate correction for thickness in slender thin-wing theory"
33,58,20,3,0.4175,0.20,0.4658,0.20,+0.0484,"how do interference-free longitudinal stability measurements made using free-flight models compare with similar measurements made in a low-blockage wind tunnel"
34,59,11,6,0.2129,0.20,0.2247,0.20,+0.0119,"have wind tunnel interference effects been investigated on a systematic basis"
35,61,12,3,0.0252,0.00,0.0206,0.00,-0.0047,"are there any papers dealing with acoustic wave propagation in reacting gases"
36,62,14,2,0.3611,0.20,0.5130,0.10,+0.1519,"has anyone investigated relaxation effects on gaseous heat transfer to a suddenly heated wall"
37,66,9,9,0.0913,0.20,0.0541,0.00,-0.0371,"are there any theoretical methods for predicting base pressure"
38,67,12,10,0.0396,0.00,0.0617,0.00,+0.0221,"does transition in the hypersonic wake depend on body geometry and size"
39,68,9,13,0.1448,0.20,0.1323,0.30,-0.0125,"how can one detect transition phenomena in boundary layers"
40,69,9,12,0.0330,0.00,0.0818,0.20,+0.0487,"how can one detect transition phenomena in hypersonic wakes"
41,71,16,3,0.7917,0.30,0.7778,0.30,-0.0139,"has anyone investigated and developed a simple model for the vortex wake behind a cruciform wing"
42,72,25,5,0.1917,0.30,0.1875,0.30,-0.0042,"what is a criterion that the transonic flow around an airfoil with a round leading edge be validly analyzed by the linearized transonic flow theory"
43,74,17,6,0.4301,0.30,0.5893,0.40,+0.1592,"can the transonic flow around an arbitrary smooth thin airfoil be analysed in a simple approximate way"
44,79,13,3,0.0000,0.00,0.0000,0.00,+0.0000,"what are the details of the rigorous kinetic theory of gases chapman-enskog theory"
45,80,13,12,0.2346,0.30,0.1718,0.10,-0.0628,"has anyone investigated the effect of surface mass transfer on hypersonic viscous interactions"
46,81,14,15,0.2451,0.40,0.3010,0.60,+0.0559,"what is the combined effect of surface heat and mass transfer on hypersonic flow"
47,82,14,14,0.2886,0.40,0.3206,0.50,+0.0320,"what are the existing solutions for hypersonic viscous interactions over an insulated flat plate"
48,83,7,11,0.1218,0.20,0.1574,0.20,+0.0356,"what controls leading-edge attachment at transonic speeds"
49,84,21,2,0.2639,0.10,0.1143,0.10,-0.1496,"can the three-point boundary-value problem for the blasius equation be integrated numerically using suitable transformations without iteration on the boundary conditions"
50,85,22,6,0.0954,0.10,0.1014,0.10,+0.0060,"what are the effects of small amounts of gas rarefaction on the characteristics of the boundary layers on slender bodies of revolution"
51,86,22,10,0.4591,0.40,0.5854,0.60,+0.1263,"what is the available information pertaining to boundary layers on very slender bodies of revolution in continuum flow the transverse curvature effect"
52,87,19,4,0.8542,0.40,0.7644,0.30,-0.0897,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
53,93,26,10,0.2686,0.20,0.2395,0.20,-0.0291,"what investigations have been made of the flow field about a body moving through a rarefied partially ionized gas in the presence of a magnetic field"
54,94,22,9,0.1535,0.20,0.1395,0.10,-0.0140,"how is the heat transfer downstream of the mass transfer region effected by mass transfer at the nose of a blunted cone"
55,95,19,10,0.2021,0.20,0.2993,0.30,+0.0972,"to what extent can the available information for incompressible boundary layers be applied to problems involving compressible boundary layers"
56,97,16,10,0.0783,0.10,0.1211,0.20,+0.0428,"to what extent can readily available steady-state aerodynamic data be utilized to predict lifting-surface flutter characteristics"
57,98,14,14,0.0964,0.10,0.0632,0.00,-0.0332,"what are the significant steady and non-steady flow characteristics which affect the flutter mechanism"
58,99,24,9,0.2323,0.20,0.1768,0.20,-0.0555,"is it possible to determine rates of forced convective heat transfer from heated cylinders of non-circular cross-section the fluid flow being along the generators"
59,100,11,4,0.0920,0.10,0.1187,0.10,+0.0267,"how much is known about boundary layer flows along non-circular cylinders"
60,101,22,5,0.5383,0.30,0.4381,0.30,-0.1002,"is there any simple but practical method for numerical integration of the mixing problem ie the blasius problem with three-point boundary conditions"
61,102,15,5,0.3031,0.30,0.5449,0.30,+0.2418,"does there exist a closed-form expression for the local heat transfer around a yawed cylinder"
62,103,31,5,0.0335,0.00,0.0248,0.00,-0.0087,"how far around a cylinder and under what conditions of flow if any is the velocity just outside of the boundary layer a linear function of the distance around the cylinder"
63,104,11,3,0.0209,0.00,0.0245,0.00,+0.0036,"where can i find pressure data on surfaces of swept cylinders"
64,105,27,2,0.6250,0.20,0.5196,0.10,-0.1054,"cant the static deflection shapes be used in predicting flutter in place of vibrational shapes if so can we provide a justification by means of an example"
65,106,16,15,0.3693,0.50,0.2226,0.50,-0.1468,"does the boundary layer on a flat plate in a shear flow induce a pressure gradient"
66,107,24,5,0.1482,0.20,0.0825,0.10,-0.0657,"can the procedure of matching inner and outer solutions for a viscous flow problem be applied when the main stream is a shear flow"
67,108,17,14,0.6102,0.70,0.5396,0.60,-0.0706,"can series expansions be found for the boundary layer on a flat plate in a shear flow"
68,109,17,5,0.0780,0.10,0.0939,0.10,+0.0158,"what possible techniques are available for computing the injection distribution corresponding to an isothermal transpiration cooled hemisphere"
69,110,12,5,0.0272,0.00,0.0565,0.10,+0.0293,"what is known regarding asymptotic solutions to the exact boundary layer equations"
70,111,8,10,0.0575,0.10,0.1003,0.10,+0.0428,"previous solutions to the boundary layer similarity equations"
71,112,6,8,0.0332,0.00,0.0406,0.00,+0.0075,"experimental results on hypersonic viscous interaction"
72,113,18,17,0.0887,0.10,0.0693,0.10,-0.0194,"what has been done about viscous interactions in relatively low reynolds number flows particularly at high mach numbers"
73,114,25,20,0.3123,0.50,0.3434,0.60,+0.0310,"what role does the effect of chemical reaction particularly when out of equilibrium play in the similitude laws governing hypersonic flows over slender aerodynamic bodies"
74,116,24,6,0.0962,0.10,0.1122,0.20,+0.0160,"how significant is the possible pressure of a dissociated free stream with respect to the realization of hypersonic simulation in high enthalpy wind tunnels"
75,118,24,5,0.0376,0.00,0.0188,0.00,-0.0188,"do the discrepancies among current analyses of the vorticity effect on stagnation-point heat transfer result primarily from the differences in the viscosity-temperature law assumed"
76,119,23,7,0.1755,0.20,0.3033,0.30,+0.1279,"how far can one trust the linear viscosity-temperature solution assumed in some of the analyses of hypersonic shock layer at low reynolds number"
77,120,20,6,0.5452,0.40,0.3483,0.30,-0.1969,"how close is the comparison of the shock layer theory with existing experiments in the low reynolds number merged-layer regime"
78,121,14,3,0.3869,0.30,0.5000,0.20,+0.1131,"has anyone explained the kink in the surge line of a multi-stage axial compressor"
79,122,17,5,0.0409,0.00,0.0479,0.10,+0.0070,"have any aerodynamic derivatives been measured at hypersonic mach numbers and comparison been made with theoretical work"
80,123,18,4,0.0178,0.00,0.0143,0.00,-0.0035,"are methods of measuring aerodynamic derivatives available which could be adopted for use in short running time facilities"
81,126,13,2,0.6667,0.20,0.8333,0.20,+0.1667,"what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel"
82,128,23,5,0.5251,0.30,0.3770,0.30,-0.1481,"how do kuchemanns and multhopps methods for calculating lift distributions on swept wings in subsonic flow compare with each other and with experiment"
83,130,11,4,0.2606,0.10,0.2602,0.10,-0.0004,"what is the present state of the theory of quasi-conical flows"
84,131,20,11,0.2999,0.30,0.4118,0.40,+0.1118,"references on the methods available for accurately estimating aerodynamic heat transfer to conical bodies for both laminar and turbulent flow"
85,132,19,4,0.0782,0.10,0.1375,0.10,+0.0593,"what parameters can seriously influence natural transition from laminar to turbulent flow on a model in a wind tunnel"
86,133,19,2,0.5833,0.20,0.5833,0.20,+0.0000,"can a satisfactory experimental technique be developed for measuring oscillatory derivatives on slender sting-mounted models in supersonic wind tunnels"
87,135,22,8,0.0160,0.00,0.0148,0.00,-0.0012,"what effect has the boundary layer in modifying the basic inviscid flow behind the shock neglecting effects of leading edge and corner"
88,136,23,6,0.8556,0.60,0.6746,0.60,-0.1810,"how does a satellite orbit contract under the action of air drag in an atmosphere in which the scale height varies with altitude"
89,137,20,6,0.1572,0.10,0.2210,0.10,+0.0638,"how is the flow at transonic speeds about a delta wing different from that on a closely-related tapered sweptback wing"
90,138,6,13,0.2456,0.30,0.1839,0.20,-0.0617,"recent data on shock-induced boundary-layer separation"
91,139,8,9,0.2076,0.30,0.3237,0.40,+0.1161,"what interference effects are likely at transonic speeds"
92,140,35,13,0.6162,0.70,0.4644,0.40,-0.1518,"given complete freedom in the design of an airplane what procedure would be used in order to minimize sonic boom intensity and is there a limit to the degree of minimizing that can be accomplished"
93,141,21,1,0.5000,0.10,0.5000,0.10,+0.0000,"can methane-air combustion product be used as a hypersonic test medium and predict within experimental accuracies the results obtained in air"
94,142,15,12,0.4347,0.40,0.4938,0.50,+0.0591,"what is the theoretical heat transfer rate at the stagnation point of a blunt body"
95,143,10,2,0.1961,0.10,0.3214,0.10,+0.1254,"what is the theoretical heat transfer distribution around a hemisphere"
96,145,13,13,0.2458,0.30,0.3690,0.60,+0.1232,"has anyone investigated the unsteady lift distributions on finite wings in subsonic flow"
97,146,17,10,0.1539,0.20,0.1860,0.30,+0.0321,"what information is available for dynamic response of airplanes to gusts or blasts in the subsonic regime"
98,147,21,5,0.0136,0.00,0.0285,0.00,+0.0149,"will forward or apex located controls be effective at low subsonic speeds and how do they compare with conventional trailing-edge flaps"
99,148,28,4,0.2306,0.20,0.2583,0.20,+0.0278,"given that an uncontrolled vehicle will tumble as it enters an atmosphere is it possible to predict when and how it will stop tumbling and its subsequent motion"
100,149,17,9,0.1852,0.20,0.3131,0.30,+0.1280,"what are the effects of initial imperfections on the elastic buckling of cylindrical shells under axial compression"
101,150,20,6,0.5903,0.50,0.6438,0.50,+0.0536,"why does the incremental theory and the deformation theory of plastic stress-strain relationship differ greatly when applied to stability problems"
102,152,9,4,0.4418,0.20,0.3433,0.20,-0.0985,"basic dynamic characteristics of structures continuous over many spans"
103,153,10,2,0.0106,0.00,0.0098,0.00,-0.0008,"is the information on the buckling of sandwich sphere available"
104,154,22,5,0.0591,0.10,0.0740,0.10,+0.0149,"can the load deformation characteristics of a beam be obtained with the material being inelastic and a non uniform temperature being present"
105,155,17,5,0.5140,0.30,0.4267,0.30,-0.0873,"what is the effect of an internal liquid column on the breathing vibrations of a cylindrical shell"
106,156,5,5,0.3832,0.20,0.4506,0.30,+0.0674,"experimental techniques in shell vibration"
107,157,26,7,0.2776,0.30,0.2776,0.30,-0.0000,"in summarizing theoretical and experimental work on the behaviour of a typical aircraft structure in a noise environment is it possible to develop a design procedure"
108,158,12,7,0.8393,0.60,0.7878,0.50,-0.0515,"what data is there on the fatigue of structures under acoustic loading"
109,160,5,5,0.0287,0.00,0.0363,0.00,+0.0077,"panels subjected to aerodynamic heating"
110,161,18,4,0.2806,0.10,0.1070,0.10,-0.1736,"can increasing the edge loading of a plate beyond the critical value for buckling change the buckling mode"
111,163,16,7,0.3231,0.40,0.2869,0.30,-0.0361,"have the effects of an elastic edge restraint been considered in previous papers on panel flutter"
112,164,23,2,0.1845,0.10,0.3125,0.10,+0.1280,"has the solution of the clamped plate problem in the classical theory of bending been reduced to two successive membrane boundary value problems"
113,165,14,4,0.1472,0.20,0.1759,0.20,+0.0287,"what data exists on oscillatory aerodynamic forces on control surfaces at transonic mach numbers"
114,167,44,4,0.0821,0.10,0.0738,0.10,-0.0083,"it is not likely that the airforces on a wing of general planform oscillating in transonic flow can be determined by purely analytical methods is it possible to determine the airforces on a single particular planform such as the rectangular one by such method"
115,168,20,4,0.0177,0.00,0.0670,0.10,+0.0493,"is the problem of similarity for representative investigations of aeroelastic effects in heated flow as intractable as previous investigations imply"
116,169,19,5,0.0292,0.00,0.0279,0.00,-0.0013,"what is the magnitude and distribution of lift over the cone and the cylindrical portion of a cone-cylinder configuration"
117,170,23,2,0.0336,0.00,0.0399,0.00,+0.0063,"is there any information on how the addition of a boat-tail affects the normal force on the body of various angles of incidence"
118,171,17,3,0.1932,0.20,0.2908,0.20,+0.0976,"what are the aerodynamic interference effects on the fin lift and body lift of a fin-body combination"
119,173,22,1,0.2000,0.10,0.2000,0.10,+0.0000,"what is the effect of initial axisymmetric deviations from circularity on the non linear large-deflection load-deflection response of cylinders under hydrostatic pressure"
120,175,24,9,0.5559,0.60,0.4247,0.50,-0.1313,"are previous analyses of circumferential thermal buckling of circular cylindrical shells unnecessarily involved or even inaccurate due to the assumed forms of buckling mode"
121,176,16,7,0.6710,0.50,0.5089,0.40,-0.1621,"what papers are there dealing with circumferential buckling either thermal buckling or due to mechanical loading"
122,177,19,9,0.1841,0.30,0.1145,0.10,-0.0696,"what analytical investigations have been made of the stability of conical shells how do the results compare with experiment"
123,181,17,2,0.1083,0.10,0.0524,0.00,-0.0560,"has any work been done on determining the nature of compressible viscous flow in a straight channel"
124,182,38,4,0.0033,0.00,0.0033,0.00,-0.0000,"in what areas other than low density wind tunnel flows is viscous compressible flow in slender channels a problem what analytical investigations have been made of the stability of conical shells how do the results compare with experiment"
125,183,8,17,0.2307,0.30,0.2664,0.30,+0.0358,"jet interference with supersonic flow -dash experimental papers"
126,184,8,8,0.1405,0.20,0.2215,0.20,+0.0810,"thrust vector control by fluid injection -dash papers"
127,187,21,5,0.0632,0.10,0.1156,0.10,+0.0525,"is it possible to obtain a reasonably simple analytical solution to the heat equation for an exponential in time heat input"
128,189,12,2,0.0141,0.00,0.0235,0.00,+0.0093,"has anyone programmed a pump design method for a high-speed digital computer"
129,190,16,7,0.4172,0.40,0.3760,0.40,-0.0412,"has anyone derived simplified pump design equation from the fundamental three-dimensional equations for incompressible nonviscous flow"
130,196,20,5,0.4090,0.30,0.5205,0.40,+0.1114,"what are the flutter characteristics of the exposed skin panels of the x-15 vertical stabilizer when subjected to aerodynamic heating"
131,200,19,8,0.2373,0.10,0.2548,0.20,+0.0175,"what agreement is found between theoretically predicted instability times and experimentally measured collapse times for compressed columns in creep"
132,201,5,15,0.7304,0.80,0.7232,0.80,-0.0072,"theoretical studies of creep buckling"
133,202,5,7,0.1915,0.10,0.2525,0.20,+0.0610,"experimental studies of creep buckling"
134,203,22,2,0.1270,0.10,0.2727,0.10,+0.1457,"is it possible to correlate the results on the creep buckling of widely different structures within the framework of a single theory"
135,204,11,8,0.5686,0.30,0.6572,0.50,+0.0887,"what are the experimental results for the creep buckling of columns"
136,205,14,3,0.2097,0.10,0.4196,0.20,+0.2100,"what are the results for the creep buckling of round tubes under external pressure"
137,206,37,4,0.3076,0.20,0.2353,0.20,-0.0723,"have any analytical studies been conducted on the time-to-failure mechanism associated with creep collapse for a long circular cylindrical shell which exhibits both primary and secondary creep as well as elastic deformations under various distributed force systems"
138,208,17,2,0.1156,0.10,0.1345,0.10,+0.0189,"has the effect of initial stresses on the frequencies of vibration of circular cylindrical shells been investigated"
139,209,23,4,0.0098,0.00,0.0085,0.00,-0.0014,"has the effect of the change of initial pressure due to deformation on the frequencies of vibration of circular cylindrical shells been investigated"
140,210,10,6,0.1549,0.20,0.1699,0.20,+0.0150,"what are the discontinuity stresses at junctions in pressurized structures"
141,211,12,6,0.3269,0.20,0.4319,0.20,+0.1050,"what analytical solutions are available for stresses in edge-loaded shells of revolution"
142,212,14,1,0.0714,0.00,0.0769,0.00,+0.0055,"what dome contours minimize discontinuity stresses when used as closures on cylindrical pressure vessels"
143,213,13,2,0.2436,0.10,0.6250,0.20,+0.3814,"what general solutions for the stresses in pressurized shells of revolution are available"
144,214,33,6,0.6354,0.50,0.3853,0.50,-0.2501,"can studies of pure membrane cylinders having no wall bending stiffness but maintaining their shape by virtue of internal pressure provide any insight into the behaviour of pressurized cylinders with finite wall stiffness"
145,215,18,7,0.4309,0.40,0.1667,0.20,-0.2642,"what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending"
146,216,18,2,0.8333,0.20,0.5833,0.20,-0.2500,"does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted"
147,217,15,10,0.2463,0.30,0.2783,0.40,+0.0320,"what are the equations which define the stability of simply supported corrugated core sandwich cylinders"
148,218,10,6,0.4615,0.30,0.1888,0.20,-0.2727,"papers on small deflection theory for buckling of sandwich cylinders"
149,219,15,11,0.3846,0.40,0.3313,0.40,-0.0533,"has anyone developed an analysis which accurately establishes the large deflection behaviour of conical shells"
150,223,13,2,0.5833,0.20,0.8333,0.20,+0.2500,"what is the magnitude of second-order wing-body interference at high supersonic mach number"
151,224,16,5,0.0248,0.00,0.0296,0.00,+0.0048,"what is the best theoretical method for calculating pressure on the surface of a wing alone"
152,225,17,6,0.0096,0.00,0.0080,0.00,-0.0015,"how can the effect of the boundary-layer on wing pressure be calculated and what is its magnitude"
153,226,8,7,0.1996,0.30,0.1914,0.30,-0.0082,"how should the navier-stokes difference equations be solved"
154,227,13,2,0.5833,0.20,0.7500,0.20,+0.1667,"which iterative method for solving linear elliptic difference equations is most rapidly convergent"
155,230,8,6,0.4049,0.30,0.2185,0.10,-0.1864,"technical report on measurement of ablation during flight"
156,231,11,14,0.5391,0.60,0.5532,0.70,+0.0141,"what qualitative and quantitative material is available on ablation materials research"
157,232,23,39,0.2107,0.50,0.2828,0.70,+0.0721,"have flow fields been calculated for blunt-nosed bodies and compared with experiment for a wide range of free stream conditions and body shapes"
158,233,8,8,0.1815,0.10,0.2063,0.10,+0.0248,"what are the available properties of high-temperature air"
159,234,21,8,0.0586,0.10,0.0723,0.20,+0.0137,"what is the magnitude of aerodynamic damping in flexible vibration modes of a slender body of revolution characteristic of launch vehicles"
160,241,33,5,0.0714,0.10,0.1194,0.10,+0.0480,"compressive circumferential stresses in a torispherical shell reveal the possibility of buckling under internal pressure has anyone investigated for which ranges of shell parameters these stresses are sufficiently large to cause elastic buckling"
161,245,30,6,0.5444,0.30,0.5355,0.30,-0.0089,"is there an integral method to give a single and sufficiently accurate method of calculating the laminar separate point for various incompressible and compressible boundary layers with zero heat transfer"
162,246,23,8,0.1814,0.30,0.2624,0.20,+0.0810,"what accurate or exact solutions of the laminar separation point for various incompressible and compressible boundary layers with zero heat transfer are available"
163,247,22,3,0.3955,0.20,0.2620,0.20,-0.1335,"can the hypersonic similarity results be applied to the technique of predicting surface pressures of an ogive forebody at angle of attack"
164,250,8,8,0.3401,0.30,0.5163,0.40,+0.1762,"what determines the onset of shock-induced boundary-layer separation"
165,251,15,2,0.3929,0.20,0.5000,0.20,+0.1071,"are the stable profiles of a compressible boundary layer induced by a moving wave known"
166,252,17,8,0.0272,0.00,0.0491,0.10,+0.0219,"are there experimental results on the stability of a compressible boundary layer induced by a moving wave"
167,253,21,2,0.1484,0.10,0.5000,0.20,+0.3516,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
168,254,26,2,0.2250,0.20,0.1167,0.10,-0.1083,"what approximate solutions are known to the direct problem of transonic flow in the throat of a nozzle ie finding the flow in a given nozzle"
169,255,29,4,0.2095,0.30,0.2719,0.20,+0.0624,"what approximate solutions are known to the indirect problem of transonic flow in the throat of a nozzle ie finding a nozzle which has a given axial velocity distribution"
170,257,30,6,0.4653,0.30,0.4680,0.30,+0.0026,"why do users of orthodox pitot-static tubes often find that the calibrations appear to be - a significantly different from those formerly specified b wildly variable at low reynolds numbers"
171,259,21,3,0.4930,0.20,0.5889,0.20,+0.0959,"has a comparison been made between interference-free drag measurements using free-flight models and similar measurements made in a low-blockage wind tunnel"
172,261,9,4,0.6792,0.40,0.6792,0.40,+0.0000,"solution of the blasius problem with three-point boundary conditions"
173,264,14,2,0.5833,0.20,1.0000,0.20,+0.4167,"references on lyapunovs method on the stability of linear differential equations with periodic coefficients"
174,265,11,5,0.1932,0.20,0.0624,0.10,-0.1308,"obtain all papers and reports that contain shock detachment distance data"
175,266,9,5,0.0751,0.10,0.0565,0.10,-0.0185,"work on flow in channels at low reynolds numbers"
176,267,12,7,0.0412,0.00,0.0496,0.00,+0.0084,"some approximate analytical heat conduction solutions using methods other than biots principle"
177,268,14,5,0.8529,0.50,0.6909,0.40,-0.1619,"what mode of stalling can be expected for each stage of an axial compressor"
178,269,12,4,0.4511,0.30,0.4258,0.20,-0.0254,"has a criterion been established for determining the axial compressor choking line"
179,272,39,4,0.3043,0.20,0.4282,0.20,+0.1239,"has a theory of quasi-conical flows been developed in supersonic linearised theory for which the upwash distribution on the lifting surface apart from being a homogeneous function in the co-ordinate is permitted to have a quite general functional form"
180,273,10,7,0.3374,0.30,0.3793,0.30,+0.0420,"how does scale height vary with altitude in an atmosphere"
181,274,7,5,0.2677,0.10,0.2695,0.20,+0.0017,"jet interference with supersonic flows theoretical papers"
182,275,19,2,0.5833,0.20,0.5833,0.20,+0.0000,"effects of leading-edge bluntness on the flutter characteristics of some square-planform double-wedge airfoils at mach numbers less than 154"
183,277,14,13,0.6471,0.80,0.2918,0.40,-0.3554,"what factors have been shown to have a primary influence on sonic boom strength"
184,283,5,7,0.1674,0.20,0.2430,0.10,+0.0756,"work on small-oscillation re-entry motions"
185,284,5,9,0.6687,0.60,0.8204,0.60,+0.1518,"experimental studies on panel flutter"
186,285,10,16,0.2500,0.50,0.2002,0.50,-0.0498,"how can wing-body flow field interference effects be approximated rationally"
187,288,19,6,0.1816,0.20,0.2022,0.30,+0.0206,"has anyone analytically or experimentally investigated the effects of internal pressure on the buckling of circular-cylindrical shells under bending"
188,291,20,11,0.4231,0.30,0.3754,0.40,-0.0477,"what theoretical and experimental work has been done on the excitation and response of typical structures in a noise environment"
189,292,22,9,0.0635,0.00,0.0907,0.10,+0.0272,"is there a design method for calculating thermal fatigue endurances of components of various types and sizes in a variety of circumstances"
190,293,29,5,0.6367,0.40,0.5024,0.20,-0.1343,"will an analysis of panel flutter based on arbitrarily assumed modes of deformation prove satisfactory and if so what is the minimum number of modes that need be considered"
191,294,18,13,0.5660,0.60,0.3650,0.20,-0.2010,"what is the criterion for true panel flutter as opposed to small amplitude vibration arising from acoustic disturbances"
192,295,6,4,0.4687,0.30,0.5911,0.30,+0.1224,"papers dealing with uniformly loaded sectors"
193,296,7,9,0.7184,0.70,0.8319,0.80,+0.1135,"general methods of solving clamped plate problems"
194,297,27,6,0.1008,0.00,0.1892,0.20,+0.0884,"how can the analytical solution of the buckling strength of a uniform circular cylinder loaded in axial compression be refined so as to lower the buckling load"
195,298,25,3,0.0523,0.00,0.0593,0.00,+0.0070,"in the problem of the buckling strength of uniform circular cylinders loaded in axial compression does the linear solution help with improving the non-linear one"
196,299,19,12,0.2501,0.30,0.1907,0.30,-0.0594,"the problem of similarity for representative investigation of aeroelastic effects in a flow with the absence of heating effects"
197,300,10,3,0.7917,0.30,0.6270,0.20,-0.1647,"how is fatigue damage estimated using the normal long-hand method"
198,301,21,4,0.5927,0.30,0.5970,0.30,+0.0043,"is there any information available on the difference in the effects of various edge conditions on the buckling of cylindrical shells"
199,303,13,8,0.1654,0.30,0.0822,0.20,-0.0832,"have non-linear large deflection analyses been conducted for shell shapes other than conical"
200,304,21,3,0.3254,0.20,0.4000,0.20,+0.0746,"are asymptotic methods sufficiently accurate in the determination of pre-buckling stresses in torispherical shells or must we resort to numerical methods"
201,306,17,16,0.3293,0.40,0.3687,0.50,+0.0394,"what are the nonequilibrium chemical constituents in the viscous shock layer ahead of a blunt re-entry vehicle"
202,314,17,14,0.1812,0.30,0.2065,0.30,+0.0253,"how accurate are existing analytical theories in estimating pressure distributions on cones at incidence at hypersonic speeds"
203,315,13,14,0.0945,0.20,0.1346,0.20,+0.0400,"are simple empirical methods of any use for estimating pressure distribution in cones"
204,316,7,14,0.0396,0.10,0.0352,0.00,-0.0044,"do viscous effects seriously modify pressure distributions"
205,317,13,2,0.3611,0.20,0.7000,0.20,+0.3389,"has anyone investigated theoretically whether surface flexibility can stabilize a laminar boundary layer"
