preprocessing,k1,query,cran_id,AP@all_b0,AP@all_b0.75,AP@all_b1,spread,rel_len_ratio,top10_overlap_b0_b1,n_terms,n_relevant,text
raw,1.2,170,257,0.1940,0.4482,0.4928,0.2987,0.691,4,30,6,"why do users of orthodox pitot-static tubes often find that the calibrations appear to be - a significantly different from those formerly specified b wildly variable at low reynolds numbers"
raw,1.2,77,120,0.3423,0.5691,0.6246,0.2823,1.441,6,20,6,"how close is the comparison of the shock layer theory with existing experiments in the low reynolds number merged-layer regime"
raw,1.2,223,356,0.6667,0.4369,0.3847,0.2819,1.287,5,10,4,"papers on shear buckling of unstiffened rectangular plates under shear"
raw,1.2,43,74,0.4032,0.6038,0.6537,0.2505,0.788,6,17,6,"can the transonic flow around an arbitrary smooth thin airfoil be analysed in a simple approximate way"
raw,1.2,169,255,0.5018,0.2937,0.2521,0.2497,0.852,7,29,4,"what approximate solutions are known to the indirect problem of transonic flow in the throat of a nozzle ie finding a nozzle which has a given axial velocity distribution"
raw,1.2,113,165,0.1253,0.3740,0.3208,0.2488,0.833,5,14,4,"what data exists on oscillatory aerodynamic forces on control surfaces at transonic mach numbers"
raw,2,146,216,0.2500,0.4500,0.8333,0.5833,0.343,7,18,2,"does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted"
raw,2,67,108,0.1428,0.5804,0.6372,0.4944,0.612,2,17,14,"can series expansions be found for the boundary layer on a flat plate in a shear flow"
raw,2,52,87,0.1526,0.4623,0.6381,0.4855,0.539,4,19,4,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
raw,2,17,32,0.0409,0.2669,0.5147,0.4738,0.763,5,20,2,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
raw,2,150,223,1.0000,0.5833,0.5833,0.4167,1.138,7,13,2,"what is the magnitude of second-order wing-body interference at high supersonic mach number"
raw,2,165,251,0.2262,0.3929,0.6429,0.4167,1.014,6,15,2,"are the stable profiles of a compressible boundary layer induced by a moving wave known"
raw,2,89,137,0.2437,0.5827,0.4182,0.3391,1.204,4,20,6,"how is the flow at transonic speeds about a delta wing different from that on a closely-related tapered sweptback wing"
raw,2,9,15,0.1423,0.2901,0.4797,0.3373,0.547,8,8,3,"papers on internal slip flow heat transfer studies"
raw,2,170,257,0.1734,0.4484,0.4887,0.3153,0.691,4,30,6,"why do users of orthodox pitot-static tubes often find that the calibrations appear to be - a significantly different from those formerly specified b wildly variable at low reynolds numbers"
raw,2,223,356,0.6603,0.4169,0.3499,0.3103,1.287,5,10,4,"papers on shear buckling of unstiffened rectangular plates under shear"
stopwords,0.5,150,223,1.0000,0.5833,0.5833,0.4167,1.117,9,13,2,"what is the magnitude of second-order wing-body interference at high supersonic mach number"
stopwords,0.5,67,108,0.1839,0.4123,0.5000,0.3160,0.605,5,17,14,"can series expansions be found for the boundary layer on a flat plate in a shear flow"
stopwords,0.5,146,216,0.3750,0.6667,0.6667,0.2917,0.351,7,18,2,"does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted"
stopwords,0.5,170,257,0.2255,0.4616,0.4949,0.2694,0.689,6,30,6,"why do users of orthodox pitot-static tubes often find that the calibrations appear to be - a significantly different from those formerly specified b wildly variable at low reynolds numbers"
stopwords,0.5,52,87,0.1433,0.2829,0.3837,0.2404,0.546,6,19,4,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
stopwords,0.5,200,304,0.4329,0.2677,0.2006,0.2323,1.238,9,21,3,"are asymptotic methods sufficiently accurate in the determination of pre-buckling stresses in torispherical shells or must we resort to numerical methods"
stopwords,0.5,223,356,0.6528,0.4893,0.4289,0.2239,1.237,6,10,4,"papers on shear buckling of unstiffened rectangular plates under shear"
stopwords,0.5,24,49,0.2098,0.4315,0.4315,0.2216,0.985,7,14,3,"what are the factors which influence the time required to invert large structural matrices"
stopwords,0.5,78,121,0.5833,0.5397,0.3730,0.2103,1.238,8,14,3,"has anyone explained the kink in the surge line of a multi-stage axial compressor"
stopwords,0.5,17,32,0.0520,0.1779,0.2611,0.2091,0.756,5,20,2,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
stopwords,1.2,146,216,0.3095,0.6667,0.7500,0.4405,0.351,8,18,2,"does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted"
stopwords,1.2,150,223,1.0000,0.5833,0.5833,0.4167,1.117,8,13,2,"what is the magnitude of second-order wing-body interference at high supersonic mach number"
stopwords,1.2,67,108,0.1928,0.5649,0.5973,0.4045,0.605,4,17,14,"can series expansions be found for the boundary layer on a flat plate in a shear flow"
stopwords,1.2,113,165,0.1260,0.3791,0.4476,0.3216,0.856,5,14,4,"what data exists on oscillatory aerodynamic forces on control surfaces at transonic mach numbers"
stopwords,1.2,77,120,0.3444,0.5758,0.6389,0.2945,1.440,5,20,6,"how close is the comparison of the shock layer theory with existing experiments in the low reynolds number merged-layer regime"
stopwords,1.2,170,257,0.2035,0.4387,0.4965,0.2930,0.689,5,30,6,"why do users of orthodox pitot-static tubes often find that the calibrations appear to be - a significantly different from those formerly specified b wildly variable at low reynolds numbers"
stopwords,1.2,223,356,0.6667,0.4732,0.3833,0.2833,1.237,5,10,4,"papers on shear buckling of unstiffened rectangular plates under shear"
stopwords,1.2,52,87,0.1772,0.4222,0.4292,0.2520,0.546,5,19,4,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
stopwords,1.2,169,255,0.5020,0.2938,0.2522,0.2498,0.801,8,29,4,"what approximate solutions are known to the indirect problem of transonic flow in the throat of a nozzle ie finding a nozzle which has a given axial velocity distribution"
stopwords,1.2,81,126,0.5312,0.3500,0.2917,0.2396,1.032,5,13,2,"what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel"
stopwords,2,146,216,0.2500,0.5833,0.8333,0.5833,0.351,8,18,2,"does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted"
stopwords,2,17,32,0.0429,0.2633,0.5120,0.4692,0.756,6,20,2,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
stopwords,2,67,108,0.1857,0.5863,0.6252,0.4395,0.605,3,17,14,"can series expansions be found for the boundary layer on a flat plate in a shear flow"
stopwords,2,150,223,1.0000,0.5833,0.5833,0.4167,1.117,8,13,2,"what is the magnitude of second-order wing-body interference at high supersonic mach number"
stopwords,2,52,87,0.1706,0.4568,0.4702,0.2997,0.546,4,19,4,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
stopwords,2,170,257,0.2013,0.4976,0.5010,0.2997,0.689,5,30,6,"why do users of orthodox pitot-static tubes often find that the calibrations appear to be - a significantly different from those formerly specified b wildly variable at low reynolds numbers"
stopwords,2,223,356,0.6548,0.4222,0.3570,0.2977,1.237,5,10,4,"papers on shear buckling of unstiffened rectangular plates under shear"
stopwords,2,169,255,0.5021,0.2941,0.2109,0.2912,0.801,6,29,4,"what approximate solutions are known to the indirect problem of transonic flow in the throat of a nozzle ie finding a nozzle which has a given axial velocity distribution"
stopwords,2,113,165,0.1613,0.4019,0.4466,0.2853,0.856,5,14,4,"what data exists on oscillatory aerodynamic forces on control surfaces at transonic mach numbers"
stopwords,2,190,293,0.2376,0.5115,0.4571,0.2739,0.615,7,29,5,"will an analysis of panel flutter based on arbitrarily assumed modes of deformation prove satisfactory and if so what is the minimum number of modes that need be considered"
stemming,0.5,52,87,0.1458,0.5298,0.6597,0.5139,0.539,4,19,4,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
stemming,0.5,146,216,0.2667,0.7000,0.7000,0.4333,0.343,8,18,2,"does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted"
stemming,0.5,64,105,0.1300,0.5064,0.5068,0.3768,0.718,7,27,2,"cant the static deflection shapes be used in predicting flutter in place of vibrational shapes if so can we provide a justification by means of an example"
stemming,0.5,170,257,0.1998,0.5472,0.5474,0.3476,0.691,8,30,6,"why do users of orthodox pitot-static tubes often find that the calibrations appear to be - a significantly different from those formerly specified b wildly variable at low reynolds numbers"
stemming,0.5,81,126,0.6667,0.8333,1.0000,0.3333,0.960,8,13,2,"what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel"
stemming,0.5,102,152,0.0643,0.2003,0.3370,0.2727,0.505,6,9,4,"basic dynamic characteristics of structures continuous over many spans"
stemming,0.5,43,74,0.2875,0.5265,0.5521,0.2646,0.788,8,17,6,"can the transonic flow around an arbitrary smooth thin airfoil be analysed in a simple approximate way"
stemming,0.5,67,108,0.1049,0.2224,0.3607,0.2558,0.612,5,17,14,"can series expansions be found for the boundary layer on a flat plate in a shear flow"
stemming,0.5,4,8,0.2669,0.5213,0.5222,0.2553,1.122,8,28,2,"can a criterion be developed to show empirically the validity of flow solutions for chemically reacting gas mixtures based on the simplifying assumption of instantaneous local chemical equilibrium"
stemming,0.5,15,29,0.7500,1.0000,0.8333,0.2500,0.740,7,5,2,"material properties of photoelastic materials"
stemming,1.2,52,87,0.1931,0.8333,0.7986,0.6402,0.539,3,19,4,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
stemming,1.2,146,216,0.2500,0.5833,0.8333,0.5833,0.343,7,18,2,"does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted"
stemming,1.2,167,253,1.0000,0.5000,0.5000,0.5000,1.751,9,21,2,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
stemming,1.2,64,105,0.0692,0.5123,0.5137,0.4445,0.718,8,27,2,"cant the static deflection shapes be used in predicting flutter in place of vibrational shapes if so can we provide a justification by means of an example"
stemming,1.2,67,108,0.1084,0.4514,0.5501,0.4417,0.612,4,17,14,"can series expansions be found for the boundary layer on a flat plate in a shear flow"
stemming,1.2,150,223,1.0000,0.5833,0.5833,0.4167,1.138,8,13,2,"what is the magnitude of second-order wing-body interference at high supersonic mach number"
stemming,1.2,170,257,0.1752,0.5772,0.5225,0.4020,0.691,7,30,6,"why do users of orthodox pitot-static tubes often find that the calibrations appear to be - a significantly different from those formerly specified b wildly variable at low reynolds numbers"
stemming,1.2,81,126,0.6250,0.8333,1.0000,0.3750,0.960,6,13,2,"what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel"
stemming,1.2,102,152,0.0702,0.3467,0.3952,0.3250,0.505,5,9,4,"basic dynamic characteristics of structures continuous over many spans"
stemming,1.2,78,121,0.6144,0.5000,0.3242,0.2901,1.184,9,14,3,"has anyone explained the kink in the surge line of a multi-stage axial compressor"
stemming,2,52,87,0.1901,0.8125,0.8125,0.6224,0.539,4,19,4,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
stemming,2,146,216,0.2500,0.5833,0.8333,0.5833,0.343,6,18,2,"does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted"
stemming,2,67,108,0.1075,0.5303,0.6040,0.4965,0.612,2,17,14,"can series expansions be found for the boundary layer on a flat plate in a shear flow"
stemming,2,64,105,0.0634,0.5196,0.5263,0.4629,0.718,6,27,2,"cant the static deflection shapes be used in predicting flutter in place of vibrational shapes if so can we provide a justification by means of an example"
stemming,2,150,223,1.0000,0.5833,0.5833,0.4167,1.138,7,13,2,"what is the magnitude of second-order wing-body interference at high supersonic mach number"
stemming,2,9,15,0.1737,0.3627,0.5868,0.4131,0.547,7,8,3,"papers on internal slip flow heat transfer studies"
stemming,2,165,251,0.2679,0.4500,0.6667,0.3988,1.014,5,15,2,"are the stable profiles of a compressible boundary layer induced by a moving wave known"
stemming,2,81,126,0.6250,0.8333,1.0000,0.3750,0.960,5,13,2,"what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel"
stemming,2,167,253,0.5833,0.4500,0.2250,0.3583,1.751,8,21,2,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
stemming,2,223,356,0.7409,0.4325,0.4099,0.3310,1.287,7,10,4,"papers on shear buckling of unstiffened rectangular plates under shear"
stopwords+stemming,0.5,52,87,0.1622,0.5726,0.6568,0.4946,0.546,5,19,4,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
stopwords+stemming,0.5,146,216,0.2667,0.7500,0.7500,0.4833,0.351,9,18,2,"does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted"
stopwords+stemming,0.5,170,257,0.2266,0.5482,0.5432,0.3216,0.689,8,30,6,"why do users of orthodox pitot-static tubes often find that the calibrations appear to be - a significantly different from those formerly specified b wildly variable at low reynolds numbers"
stopwords+stemming,0.5,102,152,0.0643,0.1963,0.3344,0.2701,0.543,7,9,4,"basic dynamic characteristics of structures continuous over many spans"
stopwords+stemming,0.5,4,8,0.2672,0.5217,0.5227,0.2555,1.022,8,28,2,"can a criterion be developed to show empirically the validity of flow solutions for chemically reacting gas mixtures based on the simplifying assumption of instantaneous local chemical equilibrium"
stopwords+stemming,0.5,15,29,0.7500,1.0000,0.8333,0.2500,0.766,7,5,2,"material properties of photoelastic materials"
stopwords+stemming,0.5,95,143,0.5909,0.3500,0.3409,0.2500,1.652,8,10,2,"what is the theoretical heat transfer distribution around a hemisphere"
stopwords+stemming,0.5,167,253,1.0000,0.8333,0.7500,0.2500,1.788,9,21,2,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
stopwords+stemming,0.5,67,108,0.1504,0.2721,0.3979,0.2475,0.605,6,17,14,"can series expansions be found for the boundary layer on a flat plate in a shear flow"
stopwords+stemming,0.5,134,203,0.5103,0.2639,0.2647,0.2464,0.926,7,22,2,"is it possible to correlate the results on the creep buckling of widely different structures within the framework of a single theory"
stopwords+stemming,1.2,52,87,0.2073,0.7644,0.8500,0.6427,0.546,5,19,4,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
stopwords+stemming,1.2,146,216,0.2679,0.5833,0.8333,0.5655,0.351,7,18,2,"does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted"
stopwords+stemming,1.2,167,253,1.0000,0.5000,0.5000,0.5000,1.788,9,21,2,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
stopwords+stemming,1.2,67,108,0.1414,0.5396,0.5598,0.4184,0.605,4,17,14,"can series expansions be found for the boundary layer on a flat plate in a shear flow"
stopwords+stemming,1.2,150,223,1.0000,0.8333,0.5833,0.4167,1.117,8,13,2,"what is the magnitude of second-order wing-body interference at high supersonic mach number"
stopwords+stemming,1.2,134,203,0.5123,0.2727,0.1879,0.3244,0.926,5,22,2,"is it possible to correlate the results on the creep buckling of widely different structures within the framework of a single theory"
stopwords+stemming,1.2,102,152,0.0702,0.3433,0.3781,0.3079,0.543,5,9,4,"basic dynamic characteristics of structures continuous over many spans"
stopwords+stemming,1.2,118,171,0.2237,0.2908,0.5185,0.2949,0.855,9,17,3,"what are the aerodynamic interference effects on the fin lift and body lift of a fin-body combination"
stopwords+stemming,1.2,78,121,0.6144,0.5000,0.3242,0.2901,1.238,9,14,3,"has anyone explained the kink in the surge line of a multi-stage axial compressor"
stopwords+stemming,1.2,3,4,0.3443,0.5623,0.6233,0.2790,0.590,7,13,8,"what problems of heat conduction in composite slabs have been solved so far"
stopwords+stemming,2,52,87,0.2051,0.7986,0.8125,0.6074,0.546,5,19,4,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
stopwords+stemming,2,146,216,0.2500,0.5833,0.8333,0.5833,0.351,6,18,2,"does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted"
stopwords+stemming,2,17,32,0.0370,0.2601,0.5090,0.4721,0.756,5,20,2,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
stopwords+stemming,2,67,108,0.1437,0.5587,0.6017,0.4580,0.605,3,17,14,"can series expansions be found for the boundary layer on a flat plate in a shear flow"
stopwords+stemming,2,150,223,1.0000,0.5833,0.5833,0.4167,1.117,8,13,2,"what is the magnitude of second-order wing-body interference at high supersonic mach number"
stopwords+stemming,2,64,105,0.1391,0.5357,0.5417,0.4026,0.801,6,27,2,"cant the static deflection shapes be used in predicting flutter in place of vibrational shapes if so can we provide a justification by means of an example"
stopwords+stemming,2,223,356,0.7589,0.4339,0.4115,0.3475,1.237,7,10,4,"papers on shear buckling of unstiffened rectangular plates under shear"
stopwords+stemming,2,113,165,0.1076,0.3588,0.4453,0.3377,0.856,4,14,4,"what data exists on oscillatory aerodynamic forces on control surfaces at transonic mach numbers"
stopwords+stemming,2,167,253,0.5833,0.3333,0.2500,0.3333,1.788,8,21,2,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
stopwords+stemming,2,102,152,0.0648,0.3575,0.3873,0.3225,0.543,5,9,4,"basic dynamic characteristics of structures continuous over many spans"
