preprocessing,k1,b,ranked_by,direction,position,query,cran_id,AP@all_vector,AP@all_bm25,AP@10_vector,AP@10_bm25,P@10_vector,P@10_bm25,R@10_vector,R@10_bm25,F1@10_vector,F1@10_bm25,RR_vector,RR_bm25,NDCG@10_vector,NDCG@10_bm25,n_terms,n_relevant,rel_len_ratio,text
stopwords+stemming,1.2,0.75,AP@all,vector_better,1,183,277,0.6471,0.2918,0.6068,0.1670,0.8000,0.4000,0.6154,0.3077,0.6957,0.3478,1.0000,0.5000,0.4364,0.2776,11,13,1.069,"what factors have been shown to have a primary influence on sonic boom strength"
stopwords+stemming,1.2,0.75,AP@all,vector_better,2,148,218,0.4615,0.1888,0.4167,0.1389,0.3000,0.2000,0.5000,0.3333,0.3750,0.2500,1.0000,0.3333,0.6413,0.3194,7,6,0.731,"papers on small deflection theory for buckling of sandwich cylinders"
stopwords+stemming,1.2,0.75,AP@all,vector_better,3,145,215,0.4309,0.1667,0.3873,0.0833,0.4000,0.2000,0.5714,0.2857,0.4706,0.2353,1.0000,0.3333,0.5854,0.2048,13,7,0.640,"what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending"
stopwords+stemming,1.2,0.75,AP@all,vector_better,4,144,214,0.6354,0.3853,0.5444,0.3677,0.5000,0.5000,0.8333,0.8333,0.6250,0.6250,1.0000,0.3333,0.7867,0.5388,23,6,0.542,"can studies of pure membrane cylinders having no wall bending stiffness but maintaining their shape by virtue of internal pressure provide any insight into the behaviour of pressurized cylinders with finite wall stiffness"
stopwords+stemming,1.2,0.75,AP@all,vector_better,5,146,216,0.8333,0.5833,0.8333,0.5833,0.2000,0.2000,1.0000,1.0000,0.3333,0.3333,1.0000,0.5000,0.7602,0.6199,12,2,0.351,"does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted"
stopwords+stemming,1.2,0.75,AP@all,vector_better,6,17,32,0.5083,0.2598,0.5000,0.2500,0.1000,0.1000,0.5000,0.5000,0.1667,0.1667,1.0000,0.5000,0.7039,0.4441,12,2,0.756,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
stopwords+stemming,1.2,0.75,AP@all,vector_better,7,191,294,0.5660,0.3650,0.3417,0.0513,0.6000,0.2000,0.4615,0.1538,0.5217,0.1739,1.0000,0.3333,0.3545,0.1253,13,13,0.946,"what is the criterion for true panel flutter as opposed to small amplitude vibration arising from acoustic disturbances"
stopwords+stemming,1.2,0.75,AP@all,vector_better,8,77,120,0.5452,0.3483,0.4069,0.2381,0.4000,0.3000,0.6667,0.5000,0.5000,0.3750,1.0000,0.5000,0.4635,0.2950,13,6,1.440,"how close is the comparison of the shock layer theory with existing experiments in the low reynolds number merged-layer regime"
stopwords+stemming,1.2,0.75,AP@all,vector_better,9,155,230,0.4049,0.2185,0.4028,0.1667,0.3000,0.1000,0.5000,0.1667,0.3750,0.1250,1.0000,1.0000,0.3784,0.2251,6,6,0.855,"technical report on measurement of ablation during flight"
stopwords+stemming,1.2,0.75,AP@all,vector_better,10,88,136,0.8556,0.6746,0.8556,0.6746,0.6000,0.6000,1.0000,1.0000,0.7500,0.7500,1.0000,0.5000,0.9526,0.7609,16,6,0.811,"how does a satellite orbit contract under the action of air drag in an atmosphere in which the scale height varies with altitude"
stopwords+stemming,1.2,0.75,AP@10,bm25_better,1,143,213,0.2436,0.6250,0.1667,0.6250,0.1000,0.2000,0.5000,1.0000,0.1667,0.3333,0.3333,1.0000,0.3066,0.8066,8,2,0.936,"what general solutions for the stresses in pressurized shells of revolution are available"
stopwords+stemming,1.2,0.75,AP@10,bm25_better,2,167,253,0.1484,0.5000,0.0714,0.5000,0.1000,0.2000,0.5000,1.0000,0.1667,0.3333,0.1429,0.5000,0.2346,0.6462,14,2,1.788,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
stopwords+stemming,1.2,0.75,AP@10,bm25_better,3,173,264,0.5833,1.0000,0.5833,1.0000,0.2000,0.2000,1.0000,1.0000,0.3333,0.3333,0.5000,1.0000,0.6934,1.0000,9,2,0.541,"references on lyapunovs method on the stability of linear differential equations with periodic coefficients"
stopwords+stemming,1.2,0.75,AP@10,bm25_better,4,205,317,0.3611,0.7000,0.3611,0.7000,0.2000,0.2000,1.0000,1.0000,0.3333,0.3333,0.5000,1.0000,0.5714,0.8503,12,2,1.542,"has anyone investigated theoretically whether surface flexibility can stabilize a laminar boundary layer"
stopwords+stemming,1.2,0.75,AP@10,bm25_better,5,15,29,0.7000,1.0000,0.7000,1.0000,0.2000,0.2000,1.0000,1.0000,0.3333,0.3333,1.0000,1.0000,0.6742,0.8597,4,2,0.766,"material properties of photoelastic materials"
stopwords+stemming,1.2,0.75,AP@10,bm25_better,6,18,33,0.0992,0.3559,0.0833,0.3333,0.1000,0.1000,0.3333,0.3333,0.1538,0.1538,0.2500,1.0000,0.2021,0.4693,8,3,1.566,"are experimental pressure distributions on bodies of revolution at angle of attack available"
stopwords+stemming,1.2,0.75,AP@10,bm25_better,7,150,223,0.5833,0.8333,0.5833,0.8333,0.2000,0.2000,1.0000,1.0000,0.3333,0.3333,0.5000,1.0000,0.6934,0.9197,9,2,1.117,"what is the magnitude of second-order wing-body interference at high supersonic mach number"
stopwords+stemming,1.2,0.75,AP@10,bm25_better,8,164,250,0.3401,0.5163,0.2396,0.4750,0.3000,0.4000,0.3750,0.5000,0.3333,0.4444,0.5000,1.0000,0.4024,0.6703,6,8,1.276,"what determines the onset of shock-induced boundary-layer separation"
stopwords+stemming,1.2,0.75,AP@10,bm25_better,9,43,74,0.4301,0.5893,0.3194,0.5536,0.3000,0.4000,0.5000,0.6667,0.3750,0.5000,0.5000,1.0000,0.4954,0.8020,13,6,0.759,"can the transonic flow around an arbitrary smooth thin airfoil be analysed in a simple approximate way"
stopwords+stemming,1.2,0.75,AP@10,bm25_better,10,136,205,0.2097,0.4196,0.1667,0.4000,0.1000,0.2000,0.3333,0.6667,0.1538,0.3077,0.5000,1.0000,0.4919,0.8359,9,3,0.691,"what are the results for the creep buckling of round tubes under external pressure"
stopwords+stemming,1.2,0.75,AP@10,vector_better,1,183,277,0.6471,0.2918,0.6068,0.1670,0.8000,0.4000,0.6154,0.3077,0.6957,0.3478,1.0000,0.5000,0.4364,0.2776,11,13,1.069,"what factors have been shown to have a primary influence on sonic boom strength"
stopwords+stemming,1.2,0.75,AP@10,vector_better,2,145,215,0.4309,0.1667,0.3873,0.0833,0.4000,0.2000,0.5714,0.2857,0.4706,0.2353,1.0000,0.3333,0.5854,0.2048,13,7,0.640,"what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending"
stopwords+stemming,1.2,0.75,AP@10,vector_better,3,191,294,0.5660,0.3650,0.3417,0.0513,0.6000,0.2000,0.4615,0.1538,0.5217,0.1739,1.0000,0.3333,0.3545,0.1253,13,13,0.946,"what is the criterion for true panel flutter as opposed to small amplitude vibration arising from acoustic disturbances"
stopwords+stemming,1.2,0.75,AP@10,vector_better,4,148,218,0.4615,0.1888,0.4167,0.1389,0.3000,0.2000,0.5000,0.3333,0.3750,0.2500,1.0000,0.3333,0.6413,0.3194,7,6,0.731,"papers on small deflection theory for buckling of sandwich cylinders"
stopwords+stemming,1.2,0.75,AP@10,vector_better,5,177,268,0.8529,0.6909,0.8529,0.6000,0.5000,0.4000,1.0000,0.8000,0.6667,0.5333,1.0000,1.0000,0.8911,0.8234,10,5,0.963,"what mode of stalling can be expected for each stage of an axial compressor"
stopwords+stemming,1.2,0.75,AP@10,vector_better,6,146,216,0.8333,0.5833,0.8333,0.5833,0.2000,0.2000,1.0000,1.0000,0.3333,0.3333,1.0000,0.5000,0.7602,0.6199,12,2,0.351,"does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted"
stopwords+stemming,1.2,0.75,AP@10,vector_better,7,17,32,0.5083,0.2598,0.5000,0.2500,0.1000,0.1000,0.5000,0.5000,0.1667,0.1667,1.0000,0.5000,0.7039,0.4441,12,2,0.756,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
stopwords+stemming,1.2,0.75,AP@10,vector_better,8,197,300,0.7917,0.6270,0.7917,0.5556,0.3000,0.2000,1.0000,0.6667,0.4615,0.3077,1.0000,1.0000,0.8597,0.6652,8,3,0.678,"how is fatigue damage estimated using the normal long-hand method"
stopwords+stemming,1.2,0.75,AP@10,vector_better,9,155,230,0.4049,0.2185,0.4028,0.1667,0.3000,0.1000,0.5000,0.1667,0.3750,0.1250,1.0000,1.0000,0.3784,0.2251,6,6,0.855,"technical report on measurement of ablation during flight"
stopwords+stemming,1.2,0.75,AP@10,vector_better,10,121,176,0.6710,0.5089,0.5595,0.3690,0.5000,0.4000,0.7143,0.5714,0.5882,0.4706,1.0000,0.5000,0.6912,0.5044,11,7,0.627,"what papers are there dealing with circumferential buckling either thermal buckling or due to mechanical loading"
stopwords+stemming,1.2,0.75,P@10,bm25_better,1,96,145,0.2458,0.3690,0.0949,0.2687,0.3000,0.6000,0.2308,0.4615,0.2609,0.5217,0.5000,0.5000,0.2277,0.4887,10,13,1.303,"has anyone investigated the unsteady lift distributions on finite wings in subsonic flow"
stopwords+stemming,1.2,0.75,P@10,bm25_better,2,135,204,0.5686,0.6572,0.3250,0.4746,0.3000,0.5000,0.3750,0.6250,0.3333,0.5556,1.0000,1.0000,0.2902,0.5273,6,8,0.727,"what are the experimental results for the creep buckling of columns"
stopwords+stemming,1.2,0.75,P@10,bm25_better,3,194,297,0.1008,0.1892,0.0000,0.0889,0.0000,0.2000,0.0000,0.3333,0.0000,0.2500,0.0769,0.3333,0.0000,0.2118,17,6,1.006,"how can the analytical solution of the buckling strength of a uniform circular cylinder loaded in axial compression be refined so as to lower the buckling load"
stopwords+stemming,1.2,0.75,P@10,bm25_better,4,40,69,0.0330,0.0818,0.0000,0.0446,0.0000,0.2000,0.0000,0.1667,0.0000,0.1818,0.0526,0.2500,0.0000,0.1201,8,12,1.430,"how can one detect transition phenomena in hypersonic wakes"
stopwords+stemming,1.2,0.75,P@10,bm25_better,5,224,360,0.0810,0.1756,0.0125,0.0979,0.1000,0.3000,0.1250,0.3750,0.1111,0.3333,0.1000,0.2000,0.0762,0.2247,14,8,1.501,"in practice how close to reality are the assumptions that the flow in a hypersonic shock tube using nitrogen is non-viscous and in thermodynamic equilibrium"
stopwords+stemming,1.2,0.75,P@10,bm25_better,6,51,86,0.4591,0.5854,0.3250,0.5133,0.4000,0.6000,0.4000,0.6000,0.4000,0.6000,1.0000,1.0000,0.4195,0.5764,15,10,1.098,"what is the available information pertaining to boundary layers on very slender bodies of revolution in continuum flow the transverse curvature effect"
stopwords+stemming,1.2,0.75,P@10,bm25_better,7,157,232,0.2107,0.2828,0.0587,0.1523,0.5000,0.7000,0.1282,0.1795,0.2041,0.2857,0.3333,1.0000,0.3577,0.6307,16,39,1.089,"have flow fields been calculated for blunt-nosed bodies and compared with experiment for a wide range of free stream conditions and body shapes"
stopwords+stemming,1.2,0.75,P@10,bm25_better,8,46,81,0.2451,0.3010,0.1511,0.2281,0.4000,0.6000,0.2667,0.4000,0.3200,0.4800,0.5000,0.5000,0.2904,0.4249,9,15,1.416,"what is the combined effect of surface heat and mass transfer on hypersonic flow"
stopwords+stemming,1.2,0.75,P@10,bm25_better,9,193,296,0.7184,0.8319,0.6565,0.8283,0.7000,0.8000,0.7778,0.8889,0.7368,0.8421,1.0000,1.0000,0.6761,0.8704,6,9,1.048,"general methods of solving clamped plate problems"
stopwords+stemming,1.2,0.75,P@10,bm25_better,10,164,250,0.3401,0.5163,0.2396,0.4750,0.3000,0.4000,0.3750,0.5000,0.3333,0.4444,0.5000,1.0000,0.4024,0.6703,6,8,1.276,"what determines the onset of shock-induced boundary-layer separation"
stopwords+stemming,1.2,0.75,P@10,vector_better,1,183,277,0.6471,0.2918,0.6068,0.1670,0.8000,0.4000,0.6154,0.3077,0.6957,0.3478,1.0000,0.5000,0.4364,0.2776,11,13,1.069,"what factors have been shown to have a primary influence on sonic boom strength"
stopwords+stemming,1.2,0.75,P@10,vector_better,2,191,294,0.5660,0.3650,0.3417,0.0513,0.6000,0.2000,0.4615,0.1538,0.5217,0.1739,1.0000,0.3333,0.3545,0.1253,13,13,0.946,"what is the criterion for true panel flutter as opposed to small amplitude vibration arising from acoustic disturbances"
stopwords+stemming,1.2,0.75,P@10,vector_better,3,92,140,0.6162,0.4644,0.4769,0.2923,0.7000,0.4000,0.5385,0.3077,0.6087,0.3478,1.0000,1.0000,0.4686,0.2960,20,13,1.069,"given complete freedom in the design of an airplane what procedure would be used in order to minimize sonic boom intensity and is there a limit to the degree of minimizing that can be accomplished"
stopwords+stemming,1.2,0.75,P@10,vector_better,4,145,215,0.4309,0.1667,0.3873,0.0833,0.4000,0.2000,0.5714,0.2857,0.4706,0.2353,1.0000,0.3333,0.5854,0.2048,13,7,0.640,"what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending"
stopwords+stemming,1.2,0.75,P@10,vector_better,5,190,293,0.6367,0.5024,0.5533,0.4000,0.4000,0.2000,0.8000,0.4000,0.5333,0.2667,1.0000,1.0000,0.6194,0.4684,18,5,0.615,"will an analysis of panel flutter based on arbitrarily assumed modes of deformation prove satisfactory and if so what is the minimum number of modes that need be considered"
stopwords+stemming,1.2,0.75,P@10,vector_better,6,23,41,0.1667,0.1254,0.0573,0.0182,0.4000,0.2000,0.1250,0.0625,0.1905,0.0952,0.3333,0.3333,0.3056,0.1724,8,32,1.036,"what progress has been made in research on unsteady aerodynamics"
stopwords+stemming,1.2,0.75,P@10,vector_better,7,37,66,0.0913,0.0541,0.0593,0.0000,0.2000,0.0000,0.2222,0.0000,0.2105,0.0000,0.2000,0.0588,0.1466,0.0000,6,9,1.163,"are there any theoretical methods for predicting base pressure"
stopwords+stemming,1.2,0.75,P@10,vector_better,8,155,230,0.4049,0.2185,0.4028,0.1667,0.3000,0.1000,0.5000,0.1667,0.3750,0.1250,1.0000,1.0000,0.3784,0.2251,6,6,0.855,"technical report on measurement of ablation during flight"
stopwords+stemming,1.2,0.75,P@10,vector_better,9,122,177,0.1841,0.1145,0.1019,0.0139,0.3000,0.1000,0.3333,0.1111,0.3158,0.1053,0.3333,0.1250,0.2091,0.0312,14,9,0.660,"what analytical investigations have been made of the stability of conical shells how do the results compare with experiment"
stopwords+stemming,1.2,0.75,P@10,vector_better,10,45,80,0.2346,0.1718,0.1750,0.0833,0.3000,0.1000,0.2500,0.0833,0.2727,0.0909,1.0000,1.0000,0.4685,0.2799,10,12,1.314,"has anyone investigated the effect of surface mass transfer on hypersonic viscous interactions"
stopwords+stemming,1.2,0.75,R@10,bm25_better,1,143,213,0.2436,0.6250,0.1667,0.6250,0.1000,0.2000,0.5000,1.0000,0.1667,0.3333,0.3333,1.0000,0.3066,0.8066,8,2,0.936,"what general solutions for the stresses in pressurized shells of revolution are available"
stopwords+stemming,1.2,0.75,R@10,bm25_better,2,167,253,0.1484,0.5000,0.0714,0.5000,0.1000,0.2000,0.5000,1.0000,0.1667,0.3333,0.1429,0.5000,0.2346,0.6462,14,2,1.788,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
stopwords+stemming,1.2,0.75,R@10,bm25_better,3,14,27,0.0758,0.0707,0.0000,0.0556,0.0000,0.1000,0.0000,0.5000,0.0000,0.1667,0.0909,0.1111,0.0000,0.2600,4,2,0.741,"papers on shock-sound wave interaction"
stopwords+stemming,1.2,0.75,R@10,bm25_better,4,136,205,0.2097,0.4196,0.1667,0.4000,0.1000,0.2000,0.3333,0.6667,0.1538,0.3077,0.5000,1.0000,0.4919,0.8359,9,3,0.691,"what are the results for the creep buckling of round tubes under external pressure"
stopwords+stemming,1.2,0.75,R@10,bm25_better,5,194,297,0.1008,0.1892,0.0000,0.0889,0.0000,0.2000,0.0000,0.3333,0.0000,0.2500,0.0769,0.3333,0.0000,0.2118,17,6,1.006,"how can the analytical solution of the buckling strength of a uniform circular cylinder loaded in axial compression be refined so as to lower the buckling load"
stopwords+stemming,1.2,0.75,R@10,bm25_better,6,16,31,0.2001,0.2359,0.1667,0.2222,0.1000,0.2000,0.3333,0.6667,0.1538,0.3077,0.5000,0.3333,0.2398,0.3931,12,3,1.038,"can the transverse potential flow about a body of revolution be calculated efficiently by an electronic computer"
stopwords+stemming,1.2,0.75,R@10,bm25_better,7,5,9,0.2083,0.3276,0.1333,0.3083,0.2000,0.3000,0.5000,0.7500,0.2857,0.4286,0.2000,0.3333,0.2695,0.4737,8,4,1.392,"what chemical kinetic system is applicable to hypersonic aerodynamic problems"
stopwords+stemming,1.2,0.75,R@10,bm25_better,8,224,360,0.0810,0.1756,0.0125,0.0979,0.1000,0.3000,0.1250,0.3750,0.1111,0.3333,0.1000,0.2000,0.0762,0.2247,14,8,1.501,"in practice how close to reality are the assumptions that the flow in a hypersonic shock tube using nitrogen is non-viscous and in thermodynamic equilibrium"
stopwords+stemming,1.2,0.75,R@10,bm25_better,9,135,204,0.5686,0.6572,0.3250,0.4746,0.3000,0.5000,0.3750,0.6250,0.3333,0.5556,1.0000,1.0000,0.2902,0.5273,6,8,0.727,"what are the experimental results for the creep buckling of columns"
stopwords+stemming,1.2,0.75,R@10,bm25_better,10,223,356,0.4407,0.5014,0.3750,0.4792,0.2000,0.3000,0.5000,0.7500,0.2857,0.4286,1.0000,0.5000,0.5585,0.6096,8,4,1.237,"papers on shear buckling of unstiffened rectangular plates under shear"
stopwords+stemming,1.2,0.75,R@10,vector_better,1,168,254,0.2250,0.1167,0.2250,0.0833,0.2000,0.1000,1.0000,0.5000,0.3333,0.1667,0.2000,0.1667,0.4306,0.2184,15,2,0.506,"what approximate solutions are known to the direct problem of transonic flow in the throat of a nozzle ie finding the flow in a given nozzle"
stopwords+stemming,1.2,0.75,R@10,vector_better,2,64,105,0.6250,0.5196,0.6250,0.5000,0.2000,0.1000,1.0000,0.5000,0.3333,0.1667,1.0000,1.0000,0.8394,0.6788,18,2,0.801,"cant the static deflection shapes be used in predicting flutter in place of vibrational shapes if so can we provide a justification by means of an example"
stopwords+stemming,1.2,0.75,R@10,vector_better,3,123,181,0.1083,0.0524,0.0833,0.0000,0.1000,0.0000,0.5000,0.0000,0.1667,0.0000,0.1667,0.0476,0.2507,0.0000,12,2,1.192,"has any work been done on determining the nature of compressible viscous flow in a straight channel"
stopwords+stemming,1.2,0.75,R@10,vector_better,4,36,62,0.3611,0.5130,0.3611,0.5000,0.2000,0.1000,1.0000,0.5000,0.3333,0.1667,0.5000,1.0000,0.5080,0.4693,11,2,1.157,"has anyone investigated relaxation effects on gaseous heat transfer to a suddenly heated wall"
stopwords+stemming,1.2,0.75,R@10,vector_better,5,190,293,0.6367,0.5024,0.5533,0.4000,0.4000,0.2000,0.8000,0.4000,0.5333,0.2667,1.0000,1.0000,0.6194,0.4684,18,5,0.615,"will an analysis of panel flutter based on arbitrarily assumed modes of deformation prove satisfactory and if so what is the minimum number of modes that need be considered"
stopwords+stemming,1.2,0.75,R@10,vector_better,6,155,230,0.4049,0.2185,0.4028,0.1667,0.3000,0.1000,0.5000,0.1667,0.3750,0.1250,1.0000,1.0000,0.3784,0.2251,6,6,0.855,"technical report on measurement of ablation during flight"
stopwords+stemming,1.2,0.75,R@10,vector_better,7,197,300,0.7917,0.6270,0.7917,0.5556,0.3000,0.2000,1.0000,0.6667,0.4615,0.3077,1.0000,1.0000,0.8597,0.6652,8,3,0.678,"how is fatigue damage estimated using the normal long-hand method"
stopwords+stemming,1.2,0.75,R@10,vector_better,8,78,121,0.3869,0.5000,0.3869,0.4167,0.3000,0.2000,1.0000,0.6667,0.4615,0.3077,0.5000,1.0000,0.5464,0.5600,9,3,1.238,"has anyone explained the kink in the surge line of a multi-stage axial compressor"
stopwords+stemming,1.2,0.75,R@10,vector_better,9,183,277,0.6471,0.2918,0.6068,0.1670,0.8000,0.4000,0.6154,0.3077,0.6957,0.3478,1.0000,0.5000,0.4364,0.2776,11,13,1.069,"what factors have been shown to have a primary influence on sonic boom strength"
stopwords+stemming,1.2,0.75,R@10,vector_better,10,191,294,0.5660,0.3650,0.3417,0.0513,0.6000,0.2000,0.4615,0.1538,0.5217,0.1739,1.0000,0.3333,0.3545,0.1253,13,13,0.946,"what is the criterion for true panel flutter as opposed to small amplitude vibration arising from acoustic disturbances"
stopwords+stemming,1.2,0.75,F1@10,bm25_better,1,96,145,0.2458,0.3690,0.0949,0.2687,0.3000,0.6000,0.2308,0.4615,0.2609,0.5217,0.5000,0.5000,0.2277,0.4887,10,13,1.303,"has anyone investigated the unsteady lift distributions on finite wings in subsonic flow"
stopwords+stemming,1.2,0.75,F1@10,bm25_better,2,194,297,0.1008,0.1892,0.0000,0.0889,0.0000,0.2000,0.0000,0.3333,0.0000,0.2500,0.0769,0.3333,0.0000,0.2118,17,6,1.006,"how can the analytical solution of the buckling strength of a uniform circular cylinder loaded in axial compression be refined so as to lower the buckling load"
stopwords+stemming,1.2,0.75,F1@10,bm25_better,3,135,204,0.5686,0.6572,0.3250,0.4746,0.3000,0.5000,0.3750,0.6250,0.3333,0.5556,1.0000,1.0000,0.2902,0.5273,6,8,0.727,"what are the experimental results for the creep buckling of columns"
stopwords+stemming,1.2,0.75,F1@10,bm25_better,4,224,360,0.0810,0.1756,0.0125,0.0979,0.1000,0.3000,0.1250,0.3750,0.1111,0.3333,0.1000,0.2000,0.0762,0.2247,14,8,1.501,"in practice how close to reality are the assumptions that the flow in a hypersonic shock tube using nitrogen is non-viscous and in thermodynamic equilibrium"
stopwords+stemming,1.2,0.75,F1@10,bm25_better,5,51,86,0.4591,0.5854,0.3250,0.5133,0.4000,0.6000,0.4000,0.6000,0.4000,0.6000,1.0000,1.0000,0.4195,0.5764,15,10,1.098,"what is the available information pertaining to boundary layers on very slender bodies of revolution in continuum flow the transverse curvature effect"
stopwords+stemming,1.2,0.75,F1@10,bm25_better,6,40,69,0.0330,0.0818,0.0000,0.0446,0.0000,0.2000,0.0000,0.1667,0.0000,0.1818,0.0526,0.2500,0.0000,0.1201,8,12,1.430,"how can one detect transition phenomena in hypersonic wakes"
stopwords+stemming,1.2,0.75,F1@10,bm25_better,7,143,213,0.2436,0.6250,0.1667,0.6250,0.1000,0.2000,0.5000,1.0000,0.1667,0.3333,0.3333,1.0000,0.3066,0.8066,8,2,0.936,"what general solutions for the stresses in pressurized shells of revolution are available"
stopwords+stemming,1.2,0.75,F1@10,bm25_better,8,167,253,0.1484,0.5000,0.0714,0.5000,0.1000,0.2000,0.5000,1.0000,0.1667,0.3333,0.1429,0.5000,0.2346,0.6462,14,2,1.788,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
stopwords+stemming,1.2,0.75,F1@10,bm25_better,9,14,27,0.0758,0.0707,0.0000,0.0556,0.0000,0.1000,0.0000,0.5000,0.0000,0.1667,0.0909,0.1111,0.0000,0.2600,4,2,0.741,"papers on shock-sound wave interaction"
stopwords+stemming,1.2,0.75,F1@10,bm25_better,10,46,81,0.2451,0.3010,0.1511,0.2281,0.4000,0.6000,0.2667,0.4000,0.3200,0.4800,0.5000,0.5000,0.2904,0.4249,9,15,1.416,"what is the combined effect of surface heat and mass transfer on hypersonic flow"
stopwords+stemming,1.2,0.75,F1@10,vector_better,1,183,277,0.6471,0.2918,0.6068,0.1670,0.8000,0.4000,0.6154,0.3077,0.6957,0.3478,1.0000,0.5000,0.4364,0.2776,11,13,1.069,"what factors have been shown to have a primary influence on sonic boom strength"
stopwords+stemming,1.2,0.75,F1@10,vector_better,2,191,294,0.5660,0.3650,0.3417,0.0513,0.6000,0.2000,0.4615,0.1538,0.5217,0.1739,1.0000,0.3333,0.3545,0.1253,13,13,0.946,"what is the criterion for true panel flutter as opposed to small amplitude vibration arising from acoustic disturbances"
stopwords+stemming,1.2,0.75,F1@10,vector_better,3,190,293,0.6367,0.5024,0.5533,0.4000,0.4000,0.2000,0.8000,0.4000,0.5333,0.2667,1.0000,1.0000,0.6194,0.4684,18,5,0.615,"will an analysis of panel flutter based on arbitrarily assumed modes of deformation prove satisfactory and if so what is the minimum number of modes that need be considered"
stopwords+stemming,1.2,0.75,F1@10,vector_better,4,92,140,0.6162,0.4644,0.4769,0.2923,0.7000,0.4000,0.5385,0.3077,0.6087,0.3478,1.0000,1.0000,0.4686,0.2960,20,13,1.069,"given complete freedom in the design of an airplane what procedure would be used in order to minimize sonic boom intensity and is there a limit to the degree of minimizing that can be accomplished"
