preprocessing,k1,b,category,rank,query,cran_id,AP@all_vector,AP@all_bm25,dAP@all,P@10_vector,P@10_bm25,n_relevant,n_terms,text
raw,0.5,0,both_poor,7,13,26,0.0034,0.0029,-0.0005,0.00,0.00,4,10,"what is the basic mechanism of the transonic aileron buzz"
raw,0.5,0,both_poor,8,124,182,0.0039,0.0034,-0.0005,0.00,0.00,4,38,"in what areas other than low density wind tunnel flows is viscous compressible flow in slender channels a problem what analytical investigations have been made of the stability of conical shells how do the results compare with experiment"
raw,0.5,0,both_poor,9,63,104,0.0049,0.0052,+0.0003,0.00,0.00,3,11,"where can i find pressure data on surfaces of swept cylinders"
raw,0.5,0,both_poor,10,139,209,0.0058,0.0052,-0.0006,0.00,0.00,4,23,"has the effect of the change of initial pressure due to deformation on the frequencies of vibration of circular cylindrical shells been investigated"
raw,0.5,0.75,bm25_better,1,95,143,0.2121,0.6429,+0.4307,0.10,0.20,2,10,"what is the theoretical heat transfer distribution around a hemisphere"
raw,0.5,0.75,bm25_better,2,143,213,0.1268,0.5526,+0.4258,0.10,0.10,2,13,"what general solutions for the stresses in pressurized shells of revolution are available"
raw,0.5,0.75,bm25_better,3,81,126,0.1603,0.5769,+0.4167,0.10,0.10,2,13,"what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel"
raw,0.5,0.75,bm25_better,4,173,264,0.6111,1.0000,+0.3889,0.20,0.20,2,14,"references on lyapunovs method on the stability of linear differential equations with periodic coefficients"
raw,0.5,0.75,bm25_better,5,167,253,0.1125,0.4500,+0.3375,0.10,0.20,2,21,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
raw,0.5,0.75,bm25_better,6,136,205,0.2105,0.4833,+0.2728,0.10,0.20,3,14,"what are the results for the creep buckling of round tubes under external pressure"
raw,0.5,0.75,bm25_better,7,200,304,0.2340,0.4710,+0.2369,0.10,0.20,3,21,"are asymptotic methods sufficiently accurate in the determination of pre-buckling stresses in torispherical shells or must we resort to numerical methods"
raw,0.5,0.75,bm25_better,8,164,250,0.3265,0.5276,+0.2011,0.30,0.40,8,8,"what determines the onset of shock-induced boundary-layer separation"
raw,0.5,0.75,bm25_better,9,91,139,0.1735,0.3623,+0.1889,0.20,0.40,9,8,"what interference effects are likely at transonic speeds"
raw,0.5,0.75,bm25_better,10,84,131,0.1205,0.2966,+0.1762,0.20,0.30,11,20,"references on the methods available for accurately estimating aerodynamic heat transfer to conical bodies for both laminar and turbulent flow"
raw,0.5,0.75,vector_better,1,52,87,0.8611,0.2895,-0.5716,0.40,0.20,4,19,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
raw,0.5,0.75,vector_better,2,17,32,0.5118,0.1383,-0.3734,0.10,0.10,2,20,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
raw,0.5,0.75,vector_better,3,155,230,0.4656,0.1261,-0.3395,0.30,0.10,6,8,"technical report on measurement of ablation during flight"
raw,0.5,0.75,vector_better,4,77,120,0.7338,0.3969,-0.3369,0.50,0.40,6,20,"how close is the comparison of the shock layer theory with existing experiments in the low reynolds number merged-layer regime"
raw,0.5,0.75,vector_better,5,197,300,0.7917,0.4603,-0.3313,0.30,0.20,3,10,"how is fatigue damage estimated using the normal long-hand method"
raw,0.5,0.75,vector_better,6,67,108,0.6481,0.3209,-0.3272,0.80,0.40,14,17,"can series expansions be found for the boundary layer on a flat plate in a shear flow"
raw,0.5,0.75,vector_better,7,64,105,0.3750,0.0537,-0.3213,0.20,0.00,2,27,"cant the static deflection shapes be used in predicting flutter in place of vibrational shapes if so can we provide a justification by means of an example"
raw,0.5,0.75,vector_better,8,183,277,0.4999,0.1956,-0.3043,0.60,0.40,13,14,"what factors have been shown to have a primary influence on sonic boom strength"
raw,0.5,0.75,vector_better,9,144,214,0.7519,0.4616,-0.2903,0.50,0.50,6,33,"can studies of pure membrane cylinders having no wall bending stiffness but maintaining their shape by virtue of internal pressure provide any insight into the behaviour of pressurized cylinders with finite wall stiffness"
raw,0.5,0.75,vector_better,10,178,269,0.5095,0.2327,-0.2768,0.30,0.20,4,12,"has a criterion been established for determining the axial compressor choking line"
raw,0.5,0.75,both_poor,1,31,56,0.0007,0.0007,+0.0000,0.00,0.00,1,23,"what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio"
raw,0.5,0.75,both_poor,2,142,212,0.0013,0.0014,+0.0001,0.00,0.00,1,14,"what dome contours minimize discontinuity stresses when used as closures on cylindrical pressure vessels"
raw,0.5,0.75,both_poor,3,28,53,0.0018,0.0016,-0.0002,0.00,0.00,2,10,"what application has the linear theory design of curved wings"
raw,0.5,0.75,both_poor,4,22,40,0.0018,0.0016,-0.0002,0.00,0.00,1,24,"did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature"
raw,0.5,0.75,both_poor,5,216,340,0.0025,0.0021,-0.0005,0.00,0.00,1,19,"what investigations have been made of the wave system created by a static pressure distribution over a liquid surface"
raw,0.5,0.75,both_poor,6,44,79,0.0024,0.0026,+0.0001,0.00,0.00,3,13,"what are the details of the rigorous kinetic theory of gases chapman-enskog theory"
raw,0.5,0.75,both_poor,7,13,26,0.0034,0.0030,-0.0004,0.00,0.00,4,10,"what is the basic mechanism of the transonic aileron buzz"
raw,0.5,0.75,both_poor,8,124,182,0.0039,0.0036,-0.0003,0.00,0.00,4,38,"in what areas other than low density wind tunnel flows is viscous compressible flow in slender channels a problem what analytical investigations have been made of the stability of conical shells how do the results compare with experiment"
raw,0.5,0.75,both_poor,9,63,104,0.0049,0.0051,+0.0002,0.00,0.00,3,11,"where can i find pressure data on surfaces of swept cylinders"
raw,0.5,0.75,both_poor,10,139,209,0.0058,0.0051,-0.0007,0.00,0.00,4,23,"has the effect of the change of initial pressure due to deformation on the frequencies of vibration of circular cylindrical shells been investigated"
raw,0.5,1,bm25_better,1,81,126,0.1603,0.6429,+0.4826,0.10,0.20,2,13,"what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel"
raw,0.5,1,bm25_better,2,95,143,0.2121,0.6667,+0.4545,0.10,0.20,2,10,"what is the theoretical heat transfer distribution around a hemisphere"
raw,0.5,1,bm25_better,3,143,213,0.1268,0.5476,+0.4208,0.10,0.10,2,13,"what general solutions for the stresses in pressurized shells of revolution are available"
raw,0.5,1,bm25_better,4,173,264,0.6111,1.0000,+0.3889,0.20,0.20,2,14,"references on lyapunovs method on the stability of linear differential equations with periodic coefficients"
raw,0.5,1,bm25_better,5,200,304,0.2340,0.4712,+0.2372,0.10,0.20,3,21,"are asymptotic methods sufficiently accurate in the determination of pre-buckling stresses in torispherical shells or must we resort to numerical methods"
raw,0.5,1,bm25_better,6,136,205,0.2105,0.4474,+0.2370,0.10,0.20,3,14,"what are the results for the creep buckling of round tubes under external pressure"
raw,0.5,1,bm25_better,7,167,253,0.1125,0.3333,+0.2208,0.10,0.20,2,21,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
raw,0.5,1,bm25_better,8,84,131,0.1205,0.3265,+0.2060,0.20,0.30,11,20,"references on the methods available for accurately estimating aerodynamic heat transfer to conical bodies for both laminar and turbulent flow"
raw,0.5,1,bm25_better,9,164,250,0.3265,0.5227,+0.1961,0.30,0.40,8,8,"what determines the onset of shock-induced boundary-layer separation"
raw,0.5,1,bm25_better,10,91,139,0.1735,0.3478,+0.1743,0.20,0.40,9,8,"what interference effects are likely at transonic speeds"
raw,0.5,1,vector_better,1,52,87,0.8611,0.3907,-0.4704,0.40,0.20,4,19,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
raw,0.5,1,vector_better,2,155,230,0.4656,0.1266,-0.3390,0.30,0.10,6,8,"technical report on measurement of ablation during flight"
raw,0.5,1,vector_better,3,183,277,0.4999,0.1609,-0.3389,0.60,0.40,13,14,"what factors have been shown to have a primary influence on sonic boom strength"
raw,0.5,1,vector_better,4,17,32,0.5118,0.1804,-0.3314,0.10,0.10,2,20,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
raw,0.5,1,vector_better,5,197,300,0.7917,0.4658,-0.3259,0.30,0.20,3,10,"how is fatigue damage estimated using the normal long-hand method"
raw,0.5,1,vector_better,6,64,105,0.3750,0.0713,-0.3037,0.20,0.10,2,27,"cant the static deflection shapes be used in predicting flutter in place of vibrational shapes if so can we provide a justification by means of an example"
raw,0.5,1,vector_better,7,144,214,0.7519,0.4773,-0.2746,0.50,0.50,6,33,"can studies of pure membrane cylinders having no wall bending stiffness but maintaining their shape by virtue of internal pressure provide any insight into the behaviour of pressurized cylinders with finite wall stiffness"
raw,0.5,1,vector_better,8,178,269,0.5095,0.2477,-0.2618,0.30,0.20,4,12,"has a criterion been established for determining the axial compressor choking line"
raw,0.5,1,vector_better,9,148,218,0.4343,0.1896,-0.2447,0.30,0.20,6,10,"papers on small deflection theory for buckling of sandwich cylinders"
raw,0.5,1,vector_better,10,77,120,0.7338,0.5032,-0.2306,0.50,0.40,6,20,"how close is the comparison of the shock layer theory with existing experiments in the low reynolds number merged-layer regime"
raw,0.5,1,both_poor,1,31,56,0.0007,0.0007,+0.0000,0.00,0.00,1,23,"what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio"
raw,0.5,1,both_poor,2,142,212,0.0013,0.0014,+0.0001,0.00,0.00,1,14,"what dome contours minimize discontinuity stresses when used as closures on cylindrical pressure vessels"
raw,0.5,1,both_poor,3,28,53,0.0018,0.0017,-0.0001,0.00,0.00,2,10,"what application has the linear theory design of curved wings"
raw,0.5,1,both_poor,4,22,40,0.0018,0.0017,-0.0001,0.00,0.00,1,24,"did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature"
raw,0.5,1,both_poor,5,216,340,0.0025,0.0020,-0.0006,0.00,0.00,1,19,"what investigations have been made of the wave system created by a static pressure distribution over a liquid surface"
raw,0.5,1,both_poor,6,44,79,0.0024,0.0027,+0.0003,0.00,0.00,3,13,"what are the details of the rigorous kinetic theory of gases chapman-enskog theory"
raw,0.5,1,both_poor,7,13,26,0.0034,0.0032,-0.0002,0.00,0.00,4,10,"what is the basic mechanism of the transonic aileron buzz"
raw,0.5,1,both_poor,8,124,182,0.0039,0.0036,-0.0003,0.00,0.00,4,38,"in what areas other than low density wind tunnel flows is viscous compressible flow in slender channels a problem what analytical investigations have been made of the stability of conical shells how do the results compare with experiment"
raw,0.5,1,both_poor,9,63,104,0.0049,0.0050,+0.0001,0.00,0.00,3,11,"where can i find pressure data on surfaces of swept cylinders"
raw,0.5,1,both_poor,10,139,209,0.0058,0.0052,-0.0007,0.00,0.00,4,23,"has the effect of the change of initial pressure due to deformation on the frequencies of vibration of circular cylindrical shells been investigated"
raw,1.2,0,bm25_better,1,143,213,0.1268,0.5588,+0.4320,0.10,0.10,2,13,"what general solutions for the stresses in pressurized shells of revolution are available"
raw,1.2,0,bm25_better,2,150,223,0.5833,1.0000,+0.4167,0.20,0.20,2,13,"what is the magnitude of second-order wing-body interference at high supersonic mach number"
raw,1.2,0,bm25_better,3,95,143,0.2121,0.5833,+0.3712,0.10,0.10,2,10,"what is the theoretical heat transfer distribution around a hemisphere"
raw,1.2,0,bm25_better,4,81,126,0.1603,0.5294,+0.3692,0.10,0.10,2,13,"what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel"
raw,1.2,0,bm25_better,5,223,356,0.3241,0.6667,+0.3425,0.10,0.30,4,10,"papers on shear buckling of unstiffened rectangular plates under shear"
raw,1.2,0,bm25_better,6,167,253,0.1125,0.4500,+0.3375,0.10,0.20,2,21,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
raw,1.2,0,bm25_better,7,169,255,0.1868,0.5018,+0.3151,0.20,0.20,4,29,"what approximate solutions are known to the indirect problem of transonic flow in the throat of a nozzle ie finding a nozzle which has a given axial velocity distribution"
raw,1.2,0,bm25_better,8,200,304,0.2340,0.5046,+0.2706,0.10,0.20,3,21,"are asymptotic methods sufficiently accurate in the determination of pre-buckling stresses in torispherical shells or must we resort to numerical methods"
raw,1.2,0,bm25_better,9,61,102,0.2054,0.4504,+0.2450,0.20,0.20,5,15,"does there exist a closed-form expression for the local heat transfer around a yawed cylinder"
raw,1.2,0,bm25_better,10,164,250,0.3265,0.5505,+0.2239,0.30,0.50,8,8,"what determines the onset of shock-induced boundary-layer separation"
raw,1.2,0,vector_better,1,52,87,0.8611,0.1615,-0.6996,0.40,0.10,4,19,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
raw,1.2,0,vector_better,2,67,108,0.6481,0.1439,-0.5042,0.80,0.10,14,17,"can series expansions be found for the boundary layer on a flat plate in a shear flow"
raw,1.2,0,vector_better,3,146,216,0.7500,0.2500,-0.5000,0.20,0.20,2,18,"does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted"
raw,1.2,0,vector_better,4,17,32,0.5118,0.0390,-0.4728,0.10,0.00,2,20,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
raw,1.2,0,vector_better,5,77,120,0.7338,0.3423,-0.3915,0.50,0.30,6,20,"how close is the comparison of the shock layer theory with existing experiments in the low reynolds number merged-layer regime"
raw,1.2,0,vector_better,6,64,105,0.3750,0.0240,-0.3510,0.20,0.00,2,27,"cant the static deflection shapes be used in predicting flutter in place of vibrational shapes if so can we provide a justification by means of an example"
raw,1.2,0,vector_better,7,197,300,0.7917,0.4556,-0.3361,0.30,0.20,3,10,"how is fatigue damage estimated using the normal long-hand method"
raw,1.2,0,vector_better,8,144,214,0.7519,0.4253,-0.3266,0.50,0.30,6,33,"can studies of pure membrane cylinders having no wall bending stiffness but maintaining their shape by virtue of internal pressure provide any insight into the behaviour of pressurized cylinders with finite wall stiffness"
raw,1.2,0,vector_better,9,155,230,0.4656,0.1434,-0.3222,0.30,0.10,6,8,"technical report on measurement of ablation during flight"
raw,1.2,0,vector_better,10,177,268,0.5761,0.2555,-0.3205,0.30,0.30,5,14,"what mode of stalling can be expected for each stage of an axial compressor"
raw,1.2,0,both_poor,1,31,56,0.0007,0.0007,-0.0000,0.00,0.00,1,23,"what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio"
raw,1.2,0,both_poor,2,142,212,0.0013,0.0012,-0.0001,0.00,0.00,1,14,"what dome contours minimize discontinuity stresses when used as closures on cylindrical pressure vessels"
raw,1.2,0,both_poor,3,28,53,0.0018,0.0015,-0.0003,0.00,0.00,2,10,"what application has the linear theory design of curved wings"
raw,1.2,0,both_poor,4,22,40,0.0018,0.0016,-0.0002,0.00,0.00,1,24,"did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature"
raw,1.2,0,both_poor,5,44,79,0.0024,0.0021,-0.0003,0.00,0.00,3,13,"what are the details of the rigorous kinetic theory of gases chapman-enskog theory"
raw,1.2,0,both_poor,6,216,340,0.0025,0.0027,+0.0002,0.00,0.00,1,19,"what investigations have been made of the wave system created by a static pressure distribution over a liquid surface"
raw,1.2,0,both_poor,7,13,26,0.0034,0.0029,-0.0005,0.00,0.00,4,10,"what is the basic mechanism of the transonic aileron buzz"
raw,1.2,0,both_poor,8,124,182,0.0039,0.0034,-0.0005,0.00,0.00,4,38,"in what areas other than low density wind tunnel flows is viscous compressible flow in slender channels a problem what analytical investigations have been made of the stability of conical shells how do the results compare with experiment"
raw,1.2,0,both_poor,9,63,104,0.0049,0.0052,+0.0003,0.00,0.00,3,11,"where can i find pressure data on surfaces of swept cylinders"
raw,1.2,0,both_poor,10,139,209,0.0058,0.0047,-0.0011,0.00,0.00,4,23,"has the effect of the change of initial pressure due to deformation on the frequencies of vibration of circular cylindrical shells been investigated"
raw,1.2,0.75,bm25_better,1,81,126,0.1603,0.6111,+0.4509,0.10,0.20,2,13,"what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel"
raw,1.2,0.75,bm25_better,2,143,213,0.1268,0.5667,+0.4399,0.10,0.10,2,13,"what general solutions for the stresses in pressurized shells of revolution are available"
raw,1.2,0.75,bm25_better,3,173,264,0.6111,1.0000,+0.3889,0.20,0.20,2,14,"references on lyapunovs method on the stability of linear differential equations with periodic coefficients"
raw,1.2,0.75,bm25_better,4,95,143,0.2121,0.5909,+0.3788,0.10,0.10,2,10,"what is the theoretical heat transfer distribution around a hemisphere"
raw,1.2,0.75,bm25_better,5,84,131,0.1205,0.3733,+0.2528,0.20,0.40,11,20,"references on the methods available for accurately estimating aerodynamic heat transfer to conical bodies for both laminar and turbulent flow"
raw,1.2,0.75,bm25_better,6,200,304,0.2340,0.4733,+0.2393,0.10,0.20,3,21,"are asymptotic methods sufficiently accurate in the determination of pre-buckling stresses in torispherical shells or must we resort to numerical methods"
raw,1.2,0.75,bm25_better,7,154,227,0.3929,0.6250,+0.2321,0.20,0.20,2,13,"which iterative method for solving linear elliptic difference equations is most rapidly convergent"
raw,1.2,0.75,bm25_better,8,167,253,0.1125,0.3333,+0.2208,0.10,0.20,2,21,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
raw,1.2,0.75,bm25_better,9,136,205,0.2105,0.4185,+0.2080,0.10,0.20,3,14,"what are the results for the creep buckling of round tubes under external pressure"
raw,1.2,0.75,bm25_better,10,206,321,0.1960,0.3913,+0.1952,0.20,0.20,3,23,"how do subsonic and transonic flutter data measured in the new langley transonic dynamics tunnel compare with similar data obtained in other facilities"
raw,1.2,0.75,vector_better,1,52,87,0.8611,0.4223,-0.4388,0.40,0.20,4,19,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
raw,1.2,0.75,vector_better,2,17,32,0.5118,0.1823,-0.3295,0.10,0.10,2,20,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
raw,1.2,0.75,vector_better,3,197,300,0.7917,0.4889,-0.3028,0.30,0.30,3,10,"how is fatigue damage estimated using the normal long-hand method"
raw,1.2,0.75,vector_better,4,64,105,0.3750,0.0861,-0.2889,0.20,0.10,2,27,"cant the static deflection shapes be used in predicting flutter in place of vibrational shapes if so can we provide a justification by means of an example"
raw,1.2,0.75,vector_better,5,183,277,0.4999,0.2550,-0.2449,0.60,0.40,13,14,"what factors have been shown to have a primary influence on sonic boom strength"
raw,1.2,0.75,vector_better,6,148,218,0.4343,0.1970,-0.2373,0.30,0.20,6,10,"papers on small deflection theory for buckling of sandwich cylinders"
raw,1.2,0.75,vector_better,7,24,49,0.5023,0.2808,-0.2214,0.20,0.20,3,14,"what are the factors which influence the time required to invert large structural matrices"
raw,1.2,0.75,vector_better,8,155,230,0.4656,0.2459,-0.2196,0.30,0.20,6,8,"technical report on measurement of ablation during flight"
raw,1.2,0.75,vector_better,9,177,268,0.5761,0.3705,-0.2056,0.30,0.30,5,14,"what mode of stalling can be expected for each stage of an axial compressor"
raw,1.2,0.75,vector_better,10,190,293,0.5582,0.3664,-0.1917,0.30,0.20,5,29,"will an analysis of panel flutter based on arbitrarily assumed modes of deformation prove satisfactory and if so what is the minimum number of modes that need be considered"
raw,1.2,0.75,both_poor,1,31,56,0.0007,0.0007,+0.0000,0.00,0.00,1,23,"what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio"
raw,1.2,0.75,both_poor,2,142,212,0.0013,0.0014,+0.0001,0.00,0.00,1,14,"what dome contours minimize discontinuity stresses when used as closures on cylindrical pressure vessels"
raw,1.2,0.75,both_poor,3,28,53,0.0018,0.0016,-0.0001,0.00,0.00,2,10,"what application has the linear theory design of curved wings"
raw,1.2,0.75,both_poor,4,22,40,0.0018,0.0018,-0.0001,0.00,0.00,1,24,"did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature"
raw,1.2,0.75,both_poor,5,216,340,0.0025,0.0021,-0.0004,0.00,0.00,1,19,"what investigations have been made of the wave system created by a static pressure distribution over a liquid surface"
raw,1.2,0.75,both_poor,6,44,79,0.0024,0.0026,+0.0001,0.00,0.00,3,13,"what are the details of the rigorous kinetic theory of gases chapman-enskog theory"
raw,1.2,0.75,both_poor,7,13,26,0.0034,0.0030,-0.0004,0.00,0.00,4,10,"what is the basic mechanism of the transonic aileron buzz"
raw,1.2,0.75,both_poor,8,124,182,0.0039,0.0038,-0.0001,0.00,0.00,4,38,"in what areas other than low density wind tunnel flows is viscous compressible flow in slender channels a problem what analytical investigations have been made of the stability of conical shells how do the results compare with experiment"
raw,1.2,0.75,both_poor,9,63,104,0.0049,0.0049,-0.0000,0.00,0.00,3,11,"where can i find pressure data on surfaces of swept cylinders"
raw,1.2,0.75,both_poor,10,139,209,0.0058,0.0048,-0.0010,0.00,0.00,4,23,"has the effect of the change of initial pressure due to deformation on the frequencies of vibration of circular cylindrical shells been investigated"
raw,1.2,1,bm25_better,1,143,213,0.1268,0.5588,+0.4320,0.10,0.10,2,13,"what general solutions for the stresses in pressurized shells of revolution are available"
raw,1.2,1,bm25_better,2,95,143,0.2121,0.5909,+0.3788,0.10,0.10,2,10,"what is the theoretical heat transfer distribution around a hemisphere"
raw,1.2,1,bm25_better,3,81,126,0.1603,0.4167,+0.2564,0.10,0.20,2,13,"what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel"
raw,1.2,1,bm25_better,4,181,274,0.1287,0.3610,+0.2323,0.10,0.20,5,7,"jet interference with supersonic flows theoretical papers"
raw,1.2,1,bm25_better,5,154,227,0.3929,0.6250,+0.2321,0.20,0.20,2,13,"which iterative method for solving linear elliptic difference equations is most rapidly convergent"
raw,1.2,1,bm25_better,6,173,264,0.6111,0.8333,+0.2222,0.20,0.20,2,14,"references on lyapunovs method on the stability of linear differential equations with periodic coefficients"
raw,1.2,1,bm25_better,7,84,131,0.1205,0.3411,+0.2206,0.20,0.40,11,20,"references on the methods available for accurately estimating aerodynamic heat transfer to conical bodies for both laminar and turbulent flow"
raw,1.2,1,bm25_better,8,43,74,0.4517,0.6537,+0.2021,0.40,0.40,6,17,"can the transonic flow around an arbitrary smooth thin airfoil be analysed in a simple approximate way"
raw,1.2,1,bm25_better,9,206,321,0.1960,0.3915,+0.1954,0.20,0.20,3,23,"how do subsonic and transonic flutter data measured in the new langley transonic dynamics tunnel compare with similar data obtained in other facilities"
raw,1.2,1,bm25_better,10,136,205,0.2105,0.4014,+0.1909,0.10,0.10,3,14,"what are the results for the creep buckling of round tubes under external pressure"
raw,1.2,1,vector_better,1,197,300,0.7917,0.4889,-0.3028,0.30,0.30,3,10,"how is fatigue damage estimated using the normal long-hand method"
raw,1.2,1,vector_better,2,52,87,0.8611,0.5667,-0.2944,0.40,0.30,4,19,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
raw,1.2,1,vector_better,3,183,277,0.4999,0.2166,-0.2833,0.60,0.40,13,14,"what factors have been shown to have a primary influence on sonic boom strength"
raw,1.2,1,vector_better,4,82,128,0.5810,0.2988,-0.2822,0.30,0.30,5,23,"how do kuchemanns and multhopps methods for calculating lift distributions on swept wings in subsonic flow compare with each other and with experiment"
